Vg,Id,Is,Ig,Vd,Rt,Drain Current (nA),|IG| (pA),gm
-5.0,-1.37e-12,-2.46e-12,3.563e-11,0.05,-36496350364.9635,-0.0013700000000000001,35.629999999999995,1.41000000000003e-10
-4.99,4e-14,1.73e-12,-1.463e-11,0.05,1250000000000.0,4e-05,14.629999999999999,8.00000000000017e-11
-4.98,2.3e-13,-2.2e-13,-1.704e-11,0.05,217391304347.826,0.00022999999999999998,17.04,3.249999999999805e-11
-4.97,6.9e-13,-3.24e-12,-9.65e-12,0.05,72463768115.942,0.00069,9.65,1.9499999999997193e-11
-4.96,6.2e-13,-1.73e-12,-5.496e-11,0.05,80645161290.3226,0.00062,54.959999999999994,7.00000000000015e-12
-4.95,8.3e-13,-6.9e-13,-1.51e-12,0.05,60240963855.4217,0.00083,1.51,1.0500000000000222e-11
-4.94,8.3e-13,1.15e-12,-1.061e-11,0.05,60240963855.4217,0.00083,10.61,-3.74999999999958e-11
-4.93,8e-14,-2.99e-12,-1.325e-11,0.05,625000000000.0,8e-05,13.25,-6.249999999999744e-11
-4.92,-4.2e-13,-1.81e-12,2.867e-11,0.05,-119047619047.619,-0.00041999999999999996,28.669999999999998,3.800000000000081e-11
-4.91,8.4e-13,2.4e-12,-2.994e-11,0.05,59523809523.8095,0.0008399999999999999,29.94,1.2450000000000265e-10
-4.9,2.07e-12,1.59e-12,-1.653e-11,0.05,24154589371.9807,0.00207,16.53,2.950000000000763e-11
-4.89,1.43e-12,-2.29e-12,-9.47e-12,0.05,34965034965.035,0.00143,9.47,-5.499999999994682e-12
-4.88,1.96e-12,-2.14e-12,-5.193e-11,0.05,25510204081.6327,0.00196,51.93,-2.6500000000000568e-11
-4.87,9e-13,3.09e-12,-4.3e-12,0.05,55555555555.5556,0.0009,4.3,-4.6000000000000985e-11
-4.86,1.04e-12,1.95e-12,-1.076e-11,0.05,48076923076.9231,0.00104,10.76,-3.549999999999478e-11
-4.85,1.9e-13,8e-14,-1.706e-11,0.05,263157894736.842,0.00019,17.06,-4.8499999999995645e-11
-4.84,7e-14,-5.6e-13,3.078e-11,0.05,714285714285.714,7.000000000000001e-05,30.78,9.3500000000002e-11
-4.83,2.06e-12,1.6e-13,-2.11e-11,0.05,24271844660.1942,0.00206,21.1,5.2500000000001124e-11
-4.82,1.12e-12,-1.46e-12,-1.254e-11,0.05,44642857142.8571,0.0011200000000000001,12.54,-6.450000000000112e-11
-4.81,7.7e-13,-1.4e-12,-7.25e-12,0.05,64935064935.0649,0.00077,7.25,-9.999999999969657e-13
-4.8,1.1e-12,1.21e-12,-5.982e-11,0.05,45454545454.5454,0.0010999999999999998,59.82000000000001,-1.850000000000039e-11
-4.79,4e-13,1.2e-12,-5.9e-12,0.05,125000000000.0,0.0004,5.9,-7.850000000000167e-11
-4.78,-4.7e-13,-4.5e-13,-1.348e-11,0.05,-106382978723.404,-0.00047000000000000004,13.48,1.7999999999990264e-11
-4.77,7.6e-13,-8.3e-13,-1.242e-11,0.05,65789473684.2105,0.00076,12.42,5.0499999999992394e-11
-4.76,5.4e-13,-1.12e-12,2.57e-11,0.05,92592592592.5926,0.00054,25.7,4.8500000000001035e-11
-4.75,1.73e-12,3.7e-13,-3.026e-11,0.05,28901734104.0462,0.0017300000000000002,30.26,4.8000000000001023e-11
-4.74,1.5e-12,-1.53e-12,-1.473e-11,0.05,33333333333.3333,0.0015,14.73,-7.900000000000169e-11
-4.73,1.5e-13,1.4e-12,-1.24e-11,0.05,333333333333.333,0.00015,12.4,-8.400000000000258e-11
-4.72,-1.8e-13,2.1e-13,-3.498e-11,0.05,-277777777777.778,-0.00017999999999999998,34.98,-6.650000000000144e-11
-4.71,-1.18e-12,-1.53e-12,4.295e-11,0.05,-42372881355.9322,-0.00118,42.949999999999996,3.000000000000064e-11
-4.7,4.2e-13,-1.7e-12,2.6e-13,0.05,119047619047.619,0.00041999999999999996,0.26,6.900000000000147e-11
-4.69,2e-13,5.7e-13,-1.63e-11,0.05,250000000000.0,0.0002,16.3,4.349999999999318e-11
-4.68,1.29e-12,-2.7e-13,2.644e-11,0.05,38759689922.4806,0.00129,26.44,2.6999999999992087e-11
-4.67,7.4e-13,-1.27e-12,-3.207e-11,0.05,67567567567.5676,0.00074,32.07,-6.050000000000128e-11
-4.66,8e-14,-1.14e-12,-1.418e-11,0.05,625000000000.0,8e-05,14.18,4.5000000000000956e-11
-4.65,1.64e-12,-2.2e-13,-1.085e-11,0.05,30487804878.0488,0.0016400000000000002,10.85,-2.8999999999982897e-11
-4.64,-5e-13,4.25e-12,-3.862e-11,0.05,-100000000000.0,-0.0005,38.62,-8.799999999998678e-11
-4.63,-1.2e-13,4.6e-12,4.06e-11,0.05,-416666666666.667,-0.00011999999999999999,40.6,-1.0000000000000224e-12
-4.62,-5.2e-13,1.59e-12,-1.8e-12,0.05,-96153846153.8462,-0.00052,1.8,8.300000000000176e-11
-4.61,1.54e-12,1.83e-12,-1.19e-11,0.05,32467532467.5325,0.00154,11.9,1.170000000000052e-10
-4.6,1.82e-12,1.82e-12,-1.041e-11,0.05,27472527472.5275,0.00182,10.41,-5.000000000000578e-11
