Vg,Id,Is,Ig,Vd,Rt,Drain Current (nA),|IG| (pA),gm
0.0,1.956e-11,-3.868e-11,-5.37e-12,0.05,2556237218.81391,0.01956,5.37,-1.533e-09
0.02,-1.11e-11,-2.585e-11,6.73e-11,0.05,-4504504504.5045,-0.0111,67.3,-8.775e-10
0.04,-1.554e-11,-2.127e-11,8.003e-11,0.05,-3217503217.50322,-0.015539999999999998,80.02999999999999,1.1500000000000064e-11
0.06,-1.064e-11,-5.796e-11,7.506e-11,0.05,-4699248120.30075,-0.01064,75.06,-6.154999999999998e-10
0.08,-4.016e-11,-6.302e-11,8.338e-11,0.05,-1245019920.31873,-0.04016,83.38,-1.2272499999999997e-09
0.1,-5.973e-11,-5.821e-11,8.986e-11,0.05,-837100284.614097,-0.05973,89.86,-3.0049999999999974e-10
0.12,-5.218e-11,-4.784e-11,1.0734e-10,0.05,-958221540.820238,-0.052180000000000004,107.34,3.4125000000000004e-10
0.14,-4.608e-11,-3.301e-11,1.1874e-10,0.05,-1085069444.44444,-0.046079999999999996,118.74,1.827499999999996e-10
0.16,-4.487e-11,-6.6e-11,1.1454e-10,0.05,-1114330287.49721,-0.04487,114.54,-4.580000000000005e-10
0.18,-6.44e-11,-6.525e-11,1.1668e-10,0.05,-776397515.52795,-0.0644,116.68,-6.970000000000002e-10
0.2,-7.275e-11,-9.417e-11,1.094e-10,0.05,-687285223.367698,-0.07275,109.4,-8.940000000000008e-10
0.22,-1.0016e-10,-5.642e-11,1.2839e-10,0.05,-499201277.955272,-0.10016000000000001,128.39000000000001,3.4999999999999776e-11
0.24,-7.135e-11,-5.623e-11,1.5188e-10,0.05,-700770847.932726,-0.07135000000000001,151.88,6.085000000000014e-10
0.26,-7.582e-11,-4.625e-11,1.476e-10,0.05,-659456607.75521,-0.07582,147.60000000000002,2.0425e-10
0.28,-6.318e-11,-7.433e-11,1.4731e-10,0.05,-791389680.278569,-0.06318,147.31,-6.030000000000038e-10
0.3,-9.994e-11,-8.945e-11,1.412e-10,0.05,-500300180.108065,-0.09994,141.2,-1.0622500000000024e-09
0.32,-1.0567e-10,-7.972e-11,1.5099e-10,0.05,-473171193.33775,-0.10567,150.98999999999998,-3.877499999999996e-10
0.34,-1.1545e-10,-6.927e-11,1.6141e-10,0.05,-433087916.84712,-0.11545,161.41,2.4025000000000194e-10
0.36,-9.606e-11,-4.795e-11,1.8072e-10,0.05,-520508015.823444,-0.09606,180.72,7.00500000000001e-10
0.38,-8.743e-11,-7.658e-11,1.8438e-10,0.05,-571886080.292806,-0.08743000000000001,184.38,-3.319999999999997e-10
0.4,-1.0934e-10,-7.921e-11,1.7617e-10,0.05,-457289189.683556,-0.10933999999999999,176.17,-5.974999999999988e-10
0.42,-1.1133e-10,-9.856e-11,1.7511e-10,0.05,-449115242.971346,-0.11133,175.11,-5.679999999999993e-10
0.44,-1.3206e-10,-6.747e-11,1.9295e-10,0.05,-378615780.70574,-0.13206,192.95,9.450000000000004e-11
0.46,-1.0755e-10,-7.664e-11,2.0436e-10,0.05,-464900046.490005,-0.10755,204.36,4.704999999999983e-10
0.48,-1.1324e-10,-5.333e-11,2.1485e-10,0.05,-441540091.840339,-0.11324000000000001,214.85000000000002,1.7249999999999915e-10
0.5,-1.0065e-10,-9.003e-11,2.0905e-10,0.05,-496770988.574267,-0.10064999999999999,209.04999999999998,-4.662499999999993e-10
0.52,-1.3189e-10,-9.846e-11,1.9862e-10,0.05,-379103798.620062,-0.13189,198.62,-1.068999999999999e-09
0.54,-1.4341e-10,-1.1128e-10,2.0424e-10,0.05,-348650721.706994,-0.14341,204.24,-4.797500000000001e-10
0.56,-1.5108e-10,-8.083e-11,2.201e-10,0.05,-330950489.806725,-0.15108000000000002,220.1,3.2850000000000357e-10
0.58,-1.3027e-10,-7.51e-11,2.3134e-10,0.05,-383818223.689261,-0.13027,231.34,6.110000000000042e-10
0.6,-1.2664e-10,-8.385e-11,2.2541e-10,0.05,-394819962.097284,-0.12663999999999997,225.41,9.750000000000302e-12
0.62,-1.2988e-10,-9.567e-11,2.3179e-10,0.05,-384970742.223591,-0.12988,231.79000000000002,-7.564999999999996e-10
0.64,-1.569e-10,-1.2014e-10,2.1504e-10,0.05,-318674314.850223,-0.15689999999999998,215.04,-9.744999999999995e-10
0.66,-1.6886e-10,-9.037e-11,2.3302e-10,0.05,-296103280.824351,-0.16886,233.01999999999998,2.012499999999999e-10
0.68,-1.4885e-10,-9.66e-11,2.4842e-10,0.05,-335908632.851864,-0.14885,248.42000000000002,5.027499999999977e-10
0.7,-1.4875e-10,-7.197e-11,2.5708e-10,0.05,-336134453.781513,-0.14875,257.08,5.477499999999987e-10
0.72,-1.2694e-10,-1.0571e-10,2.5749e-10,0.05,-393886875.689302,-0.12694,257.49,-2.5774999999999986e-10
0.74,-1.5906e-10,-1.0284e-10,2.4149e-10,0.05,-314346787.375833,-0.15905999999999998,241.49,-9.32499999999999e-10
0.76,-1.6424e-10,-1.1813e-10,2.4753e-10,0.05,-304432537.749635,-0.16424,247.53000000000003,-6.227499999999997e-10
0.78,-1.8397e-10,-9.869e-11,2.5118e-10,0.05,-271783442.952655,-0.18397000000000002,251.18,3.9149999999999973e-10
0.8,-1.4858e-10,-8.129e-11,2.8525e-10,0.05,-336519046.978059,-0.14858,285.25,9.859999999999976e-10
0.82,-1.4453e-10,-9.744e-11,2.6157e-10,0.05,-345948937.93676,-0.14453,261.57,1.8575000000000052e-10
0.84,-1.4115e-10,-1.116e-10,2.6985e-10,0.05,-354233085.370174,-0.14115,269.85,-4.724999999999998e-10
