Vg,Id,Is,Ig,Vd,Rt,Drain Current (nA),|IG| (pA),gm
0.0,9.02e-12,-1.003e-11,-2.417e-11,0.05,5543237250.55432,0.00902,24.169999999999998,-7.534999999999999e-10
0.02,-6.05e-12,-3.55e-12,6.33e-12,0.05,-8264462809.91736,-0.006050000000000001,6.33,-5.6000000000000013e-11
0.04,6.78e-12,-1.587e-11,6.094e-11,0.05,7374631268.43658,0.00678,60.94,1.4799999999999995e-10
0.06,-1.3e-13,-9.97e-12,3.233e-11,0.05,-384615384615.385,-0.00013,32.33,-9.250000000000071e-12
0.08,6.41e-12,-3.479e-11,1.746e-11,0.05,7800312012.4805,0.006410000000000001,17.46,-3.042499999999999e-10
0.1,-1.23e-11,-3.18e-11,-3.016e-11,0.05,-4065040650.4065,-0.0123,30.160000000000004,-3.3699999999999966e-10
0.12,-7.07e-12,-3.871e-11,2.394e-11,0.05,-7072135785.00707,-0.007070000000000001,23.94,-7.99999999999961e-12
0.14,-1.262e-11,-2.917e-11,5.626e-11,0.05,-3961965134.70681,-0.012620000000000001,56.26,2.3475000000000066e-10
0.16,2.32e-12,-2.857e-11,8.767e-11,0.05,21551724137.931,0.00232,87.67,3.9300000000000025e-10
0.18,3.1e-12,-4.353e-11,4.398e-11,0.05,16129032258.0645,0.0031000000000000003,43.98,-1.8274999999999965e-10
0.2,-4.99e-12,-4.696e-11,1.255e-11,0.05,-10020040080.1603,-0.0049900000000000005,12.549999999999999,-2.637499999999998e-10
0.22,-7.45e-12,-5.461e-11,2.235e-11,0.05,-6711409395.97315,-0.007450000000000001,22.349999999999998,-2.4625000000000016e-10
0.24,-1.484e-11,-3.902e-11,5.206e-11,0.05,-3369272237.19677,-0.01484,52.06,2.8374999999999905e-10
0.26,3.9e-12,-4.949e-11,1.0465e-10,0.05,12820512820.5128,0.0039,104.64999999999999,2.1449999999999983e-10
0.28,-6.26e-12,-4.5e-11,6.893e-11,0.05,-7987220447.28434,-0.006260000000000001,68.93,-1.3249999999998636e-11
0.3,3.37e-12,-6.562e-11,5.452e-11,0.05,14836795252.2255,0.00337,54.52,-2.412499999999981e-10
0.32,-1.591e-11,-6.668e-11,8.08e-12,0.05,-3142677561.28221,-0.01591,8.08,-3.779999999999997e-10
0.34,-1.175e-11,-7.118e-11,6.432e-11,0.05,-4255319148.93617,-0.01175,64.32000000000001,1.174999999999952e-11
0.36,-1.544e-11,-6.136e-11,9.262e-11,0.05,-3238341968.91192,-0.01544,92.62,1.9974999999999908e-10
0.38,-3.76e-12,-6.094e-11,1.2479e-10,0.05,-13297872340.4255,-0.0037600000000000003,124.78999999999999,3.639999999999997e-10
0.4,-8.8e-13,-7.53e-11,7.666e-11,0.05,-56818181818.1818,-0.00088,76.66,-6.600000000000063e-11
0.42,-6.4e-12,-7.826e-11,4.866e-11,0.05,-7812500000.0,-0.0064,48.660000000000004,-2.440000000000002e-10
0.44,-1.064e-11,-8.672e-11,5.74e-11,0.05,-4699248120.30075,-0.01064,57.4,-1.9324999999999988e-10
0.46,-1.413e-11,-7.244e-11,8.533e-11,0.05,-3538570417.55131,-0.01413,85.33,2.7275000000000136e-10
0.48,2.7e-13,-8.265e-11,1.3613e-10,0.05,185185185185.185,0.00027,136.13,1.922500000000016e-10
0.5,-6.44e-12,-7.748e-11,1.0323e-10,0.05,-7763975155.2795,-0.00644,103.23,5.0249999999999956e-11
0.52,2.28e-12,-9.861e-11,8.784e-11,0.05,21929824561.4035,0.00228,87.84,-2.4474999999999975e-10
0.54,-1.623e-11,-1.0043e-10,4.143e-11,0.05,-3080714725.81639,-0.016229999999999998,41.43,-4.054999999999997e-10
0.56,-1.394e-11,-1.046e-10,9.685e-11,0.05,-3586800573.88809,-0.013940000000000001,96.85,-2.2500000000000853e-11
0.58,-1.713e-11,-9.459e-11,1.2432e-10,0.05,-2918855808.52306,-0.01713,124.32,2.522499999999982e-10
0.6,-3.85e-12,-9.391e-11,1.5294e-10,0.05,-12987012987.013,-0.00385,152.94,3.8299999999999966e-10
0.62,-1.81e-12,-1.0905e-10,1.1223e-10,0.05,-27624309392.2652,-0.00181,112.22999999999999,-1.7524999999999989e-10
0.64,-1.086e-11,-1.1002e-10,7.488e-11,0.05,-4604051565.37753,-0.01086,74.88000000000001,-2.189999999999998e-10
0.66,-1.057e-11,-1.19e-10,9.129e-11,0.05,-4730368968.77956,-0.01057,91.29,-1.2899999999999986e-10
0.68,-1.602e-11,-1.0328e-10,1.1818e-10,0.05,-3121098626.7166,-0.01602,118.17999999999999,2.8825000000000363e-10
0.7,9.6e-13,-1.1347e-10,1.6964e-10,0.05,52083333333.3333,0.0009599999999999999,169.64,2.487500000000038e-10
0.72,-6.07e-12,-1.0729e-10,1.3394e-10,0.05,-8237232289.95058,-0.00607,133.94,4.9999999999999957e-11
0.74,2.96e-12,-1.2821e-10,1.1522e-10,0.05,16891891891.8919,0.00296,115.22,-2.327499999999998e-10
0.76,-1.538e-11,-1.2914e-10,6.919e-11,0.05,-3250975292.58778,-0.01538,69.19,-3.777499999999997e-10
0.78,-1.215e-11,-1.3195e-10,1.2479e-10,0.05,-4115226337.44856,-0.01215,124.78999999999999,2.1249999999999952e-11
0.8,-1.453e-11,-1.2347e-10,1.5436e-10,0.05,-3441156228.49277,-0.014530000000000001,154.35999999999999,2.2250000000000228e-10
0.82,-3.25e-12,-1.2205e-10,1.7976e-10,0.05,-15384615384.6154,-0.0032500000000000003,179.76000000000002,3.4175000000000195e-10
0.84,-8.6e-13,-1.3561e-10,1.3736e-10,0.05,-58139534883.7209,-0.00086,137.36,-1.4374999999999984e-10
0.86,-9e-12,-1.369e-10,1.0256e-10,0.05,-5555555555.55556,-0.009,102.56,-2.167499999999998e-10
0.88,-9.53e-12,-1.4508e-10,1.1691e-10,0.05,-5246589716.68416,-0.00953,116.90999999999998,-1.3274999999999993e-10
0.9,-1.431e-11,-1.2848e-10,1.4345e-10,0.05,-3494060097.83368,-0.01431,143.45000000000002,2.7524999999999975e-10
0.92,1.48e-12,-1.3804e-10,1.9465e-10,0.05,33783783783.7838,0.00148,194.65,2.294999999999973e-10
0.94,-5.13e-12,-1.3243e-10,1.5103e-10,0.05,-9746588693.95712,-0.00513,151.03,7.649999999999787e-11
0.96,4.54e-12,-1.5093e-10,1.3461e-10,0.05,11013215859.0308,0.00454,134.60999999999999,-8.449999999999991e-11
0.98,-8.51e-12,-1.5311e-10,1.2294e-10,0.05,-5875440658.04935,-0.00851,122.94,-4.1649999999999965e-10
1.0,-1.212e-11,-1.3795e-10,1.4833e-10,0.05,-4125412541.25413,-0.012119999999999999,148.32999999999998,2.9899999999999974e-10
1.02,3.45e-12,-1.4614e-10,1.9975e-10,0.05,14492753623.1884,0.00345,199.75,1.984999999999998e-10
1.04,-4.18e-12,-1.3922e-10,1.6149e-10,0.05,-11961722488.0383,-0.0041800000000000006,161.49,5.774999999999994e-11
1.06,5.76e-12,-1.5906e-10,1.4522e-10,0.05,8680555555.55556,0.0057599999999999995,145.22,-2.112499999999998e-10
1.08,-1.263e-11,-1.5797e-10,9.67e-11,0.05,-3958828186.85669,-0.012629999999999999,96.7,-3.8499999999999965e-10
1.1,-9.64e-12,-1.545e-10,1.5174e-10,0.05,-5186721991.70125,-0.00964,151.74,9.199999999999989e-11
1.12,-8.95e-12,-1.5163e-10,1.8662e-10,0.05,-5586592178.77095,-0.00895,186.62,2.585000000000037e-10
1.14,7e-13,-1.4753e-10,1.888e-10,0.05,71428571428.5714,0.0007,188.8,3.67750000000003e-10
