Vg,Id,Is,Ig,Vd,Rt,Drain Current (nA),|IG| (pA),gm
0.0,8.49e-12,-8.49e-12,-4.932e-11,0.05,5889281507.65607,0.00849,49.32,-3.7799999999999994e-10
0.02,9.3e-13,-1.067e-11,5.04e-12,0.05,53763440860.2151,0.00093,5.04,-1.5975e-10
0.04,2.1e-12,-1.346e-11,3.177e-11,0.05,23809523809.5238,0.0021,31.769999999999996,9.800000000000002e-11
0.06,4.85e-12,-1.369e-11,3.872e-11,0.05,10309278350.5155,0.00485,38.720000000000006,9.875000000000005e-11
0.08,6.05e-12,-2.648e-11,1.045e-11,0.05,8264462809.91736,0.006050000000000001,10.45,-1.6774999999999996e-10
0.1,-1.86e-12,-2.493e-11,-1.166e-11,0.05,-26881720430.1075,-0.00186,11.66,-1.2024999999999984e-10
0.12,1.24e-12,-3.037e-11,1.244e-11,0.05,40322580645.1613,0.00124,12.44,-5.0499999999999683e-11
0.14,-3.88e-12,-2.651e-11,2.893e-11,0.05,-12886597938.1443,-0.0038799999999999998,28.93,1.1400000000000051e-10
0.16,5.8e-12,-3.376e-11,7.041e-11,0.05,8620689655.17241,0.0058000000000000005,70.41000000000001,1.0250000000000005e-10
0.18,2.2e-13,-3.425e-11,3.311e-11,0.05,227272727272.727,0.00022,33.11,-4.250000000000033e-11
0.2,4.1e-12,-4.151e-11,2.538e-11,0.05,12195121951.2195,0.0040999999999999995,25.38,-1.1200000000000041e-10
0.22,-4.26e-12,-4.456e-11,1.14e-12,0.05,-11737089201.8779,-0.00426,1.14,-1.930000000000001e-10
0.24,-3.62e-12,-4.654e-11,4.981e-11,0.05,-13812154696.1326,-0.00362,49.81,3.775e-11
0.26,-2.75e-12,-4.781e-11,7.51e-11,0.05,-18181818181.8182,-0.0027500000000000003,75.10000000000001,1.172499999999999e-10
0.28,1.07e-12,-4.86e-11,8.139e-11,0.05,46728971962.6168,0.00107,81.39,1.6825000000000001e-10
0.3,3.98e-12,-6.022e-11,5.423e-11,0.05,12562814070.3518,0.00398,54.230000000000004,-1.5899999999999924e-10
0.32,-5.29e-12,-5.815e-11,2.631e-11,0.05,-9451795841.20983,-0.00529,26.310000000000002,-1.4449999999999986e-10
0.34,-1.8e-12,-6.428e-11,5.679e-11,0.05,-27777777777.7778,-0.0018,56.79,1.6499999999999568e-11
0.36,-4.63e-12,-5.929e-11,6.969e-11,0.05,-10799136069.1145,-0.0046300000000000004,69.69,1.859999999999992e-10
0.38,5.64e-12,-6.608e-11,1.0943e-10,0.05,8865248226.95036,0.00564,109.43,1.287499999999999e-10
0.4,5.2e-13,-6.7e-11,7.032e-11,0.05,96153846153.8462,0.00052,70.32,-4.4249999999999447e-11
0.42,3.87e-12,-7.288e-11,6.041e-11,0.05,12919896640.8269,0.00387,60.410000000000004,-8.699999999999934e-11
0.44,-2.96e-12,-7.774e-11,3.937e-11,0.05,-16891891891.8919,-0.00296,39.370000000000005,-2.4049999999999984e-10
0.46,-5.75e-12,-7.672e-11,8.009e-11,0.05,-8695652173.91304,-0.005750000000000001,80.09,4.675000000000055e-11
0.48,-1.09e-12,-8.013e-11,1.0864e-10,0.05,-45871559633.0275,-0.00109,108.64,1.4875000000000031e-10
0.5,2e-13,-8.125e-11,1.0208e-10,0.05,250000000000.0,0.0002,102.08,1.0849999999999991e-10
0.52,3.25e-12,-9.232e-11,8.733e-11,0.05,15384615384.6154,0.0032500000000000003,87.33,-1.6599999999999984e-10
