Vg,Id,Is,Ig,Vd,Rt,Drain Current (nA),|IG| (pA),gm
0.0,5.51e-12,3.28e-12,4.761e-11,0.05,9074410163.33938,0.00551,47.61,1.59e-10
0.02,8.69e-12,-7.87e-12,9.77e-12,0.05,5753739930.95512,0.00869,9.770000000000001,-5.3e-11
0.04,3.39e-12,-1.575e-11,-1.716e-11,0.05,14749262536.8732,0.00339,17.16,-4.160000000000001e-10
0.06,-7.95e-12,-2.298e-11,-2.337e-11,0.05,-6289308176.10063,-0.00795,23.369999999999997,-4.780000000000001e-10
0.08,-1.573e-11,-7.11e-12,1.54e-11,0.05,-3178639542.27591,-0.01573,15.4,1.3574999999999997e-10
0.1,-2.52e-12,-1.318e-11,6.238e-11,0.05,-19841269841.2698,-0.00252,62.379999999999995,1.7124999999999974e-10
0.12,-8.88e-12,-6.77e-12,4.654e-11,0.05,-5630630630.63063,-0.008879999999999999,46.54,-9.57500000000003e-11
0.14,-6.35e-12,-2.909e-11,2.555e-11,0.05,-7874015748.0315,-0.006350000000000001,25.55,-4.327500000000007e-10
0.16,-2.619e-11,-2.348e-11,-2.061e-11,0.05,-1909125620.46583,-0.026189999999999998,20.61,-3.725000000000002e-10
0.18,-2.125e-11,-3.064e-11,2.94e-11,0.05,-2352941176.47059,-0.02125,29.400000000000002,-1.0124999999999942e-10
0.2,-3.024e-11,-1.319e-11,5.396e-11,0.05,-1653439153.43915,-0.030239999999999996,53.96,1.4250000000000075e-10
0.22,-1.555e-11,-1.317e-11,9.788e-11,0.05,-3215434083.60129,-0.015550000000000001,97.88,2.3100000000000013e-10
0.24,-2.1e-11,-1.704e-11,5.085e-11,0.05,-2380952380.95238,-0.020999999999999998,50.849999999999994,-2.0325000000000005e-10
0.26,-2.368e-11,-2.777e-11,2.214e-11,0.05,-2111486486.48649,-0.02368,22.14,-3.6899999999999976e-10
0.28,-3.576e-11,-3.276e-11,1.233e-11,0.05,-1398210290.82774,-0.03576,12.33,-4.737499999999998e-10
0.3,-4.263e-11,-1.755e-11,5.119e-11,0.05,-1172882946.28196,-0.04263,51.19,1.4599999999999877e-10
0.32,-2.992e-11,-2.266e-11,9.263e-11,0.05,-1671122994.65241,-0.02992,92.63,1.9574999999999987e-10
0.34,-3.48e-11,-1.573e-11,8.025e-11,0.05,-1436781609.1954,-0.0348,80.25,-2.574999999999942e-11
0.36,-3.095e-11,-3.73e-11,6.053e-11,0.05,-1615508885.29887,-0.030950000000000002,60.529999999999994,-4.309999999999986e-10
