Vg,Id,Is,Ig,Vd,Rt,Drain Current (nA),|IG| (pA),gm
0.0,7.83e-12,-4.01e-12,1.648e-11,0.05,6385696040.86845,0.00783,16.48,-7.500000000000039e-12
0.02,7.68e-12,-1.683e-11,6.87e-12,0.05,6510416666.66667,0.007679999999999999,6.869999999999999,-2.3100000000000003e-10
0.04,-1.41e-12,-1.58e-11,-1.491e-11,0.05,-35460992907.8014,-0.00141,14.91,-2.0575e-10
0.06,-5.5e-13,-2.32e-11,6.7e-12,0.05,-90909090909.0909,-0.0005499999999999999,6.7,-8.224999999999995e-11
0.08,-4.7e-12,-1.728e-11,2.299e-11,0.05,-10638297872.3404,-0.0047,22.99,1.0099999999999996e-10
0.1,3.49e-12,-2.491e-11,5.607e-11,0.05,14326647564.4699,0.00349,56.07,1.2099999999999981e-10
0.12,1.4e-13,-2.485e-11,3.14e-11,0.05,357142857142.857,0.00014000000000000001,31.400000000000002,-5.425000000000015e-11
0.14,1.32e-12,-3.64e-11,2.916e-11,0.05,37878787878.7879,0.00132,29.16,-1.8225000000000033e-10
0.16,-7.15e-12,-3.647e-11,2.05e-12,0.05,-6993006993.00699,-0.00715,2.05,-1.5300000000000007e-10
0.18,-4.8e-12,-4.183e-11,3.861e-11,0.05,-10416666666.6667,-0.0048,38.61,3.100000000000015e-11
0.2,-5.91e-12,-4.039e-11,5.8e-11,0.05,-8460236886.63283,-0.0059099999999999995,58.0,5.6250000000000155e-11
0.22,-2.55e-12,-4.039e-11,7.338e-11,0.05,-19607843137.2549,-0.0025499999999999997,73.38,1.592500000000001e-10
0.24,4.6e-13,-5.152e-11,5.284e-11,0.05,108695652173.913,0.00045999999999999996,52.84,-1.0999999999999963e-10
0.26,-6.95e-12,-5.083e-11,3.404e-11,0.05,-7194244604.31655,-0.0069500000000000004,34.04,-1.357499999999999e-10
0.28,-4.97e-12,-5.728e-11,4.156e-11,0.05,-10060362173.0382,-0.0049700000000000005,41.56,6.999999999999769e-12
0.3,-6.67e-12,-5.242e-11,6.083e-11,0.05,-7496251874.06297,-0.00667,60.83,1.117499999999995e-10
0.32,-5e-13,-5.834e-11,9.172e-11,0.05,-100000000000.0,-0.0005,91.72,4.5999999999999945e-11
0.34,-4.83e-12,-5.826e-11,6.903e-11,0.05,-10351966873.706,-0.00483,69.03,-2.774999999999949e-11
0.36,-1.61e-12,-6.909e-11,6.518e-11,0.05,-31055900621.118,-0.00161,65.18,-9.499999999999934e-11
0.38,-8.63e-12,-6.871e-11,3.834e-11,0.05,-5793742757.82155,-0.00863,38.34,-1.4599999999999988e-10
0.4,-7.45e-12,-7.202e-11,7.437e-11,0.05,-6711409395.97315,-0.007450000000000001,74.37,4.525e-11
0.42,-6.82e-12,-7.258e-11,9.573e-11,0.05,-7331378299.12023,-0.00682,95.73,6.099999999999994e-11
0.44,-5.01e-12,-7.284e-11,1.078e-10,0.05,-9980039920.15968,-0.00501,107.80000000000001,1.0099999999999991e-10
0.46,-2.78e-12,-8.268e-11,8.65e-11,0.05,-17985611510.7914,-0.00278,86.5,-8.750000000000058e-11
0.48,-8.51e-12,-8.127e-11,6.894e-11,0.05,-5875440658.04935,-0.00851,68.94,-1.0750000000000055e-10
0.5,-7.08e-12,-8.63e-11,8.005e-11,0.05,-7062146892.65537,-0.0070799999999999995,80.05,1.2499999999999698e-12
0.52,-8.46e-12,-8.22e-11,9.732e-11,0.05,-5910165484.63357,-0.00846,97.32000000000001,1.0749999999999991e-10
0.54,-2.78e-12,-8.856e-11,1.3044e-10,0.05,-17985611510.7914,-0.00278,130.44,6.949999999999997e-11
0.56,-5.68e-12,-8.844e-11,1.0107e-10,0.05,-8802816901.40845,-0.00568,101.07000000000001,9.750000000000858e-12
0.58,-2.39e-12,-9.898e-11,9.428e-11,0.05,-20920502092.0502,-0.00239,94.28,-5.1999999999998864e-11
0.6,-7.76e-12,-9.896e-11,7.138e-11,0.05,-6443298969.07216,-0.0077599999999999995,71.38000000000001,-1.3074999999999988e-10
0.62,-7.62e-12,-1.001e-10,1.0752e-10,0.05,-6561679790.02625,-0.00762,107.52,-2.324999999999997e-11
0.64,-8.69e-12,-1.0112e-10,1.253e-10,0.05,-5753739930.95512,-0.00869,125.3,6.074999999999995e-11
0.66,-5.19e-12,-9.896e-11,1.3701e-10,0.05,-9633911368.01541,-0.00519,137.01,1.3974999999999985e-10
0.68,-3.1e-12,-1.1023e-10,1.1351e-10,0.05,-16129032258.0645,-0.0031000000000000003,113.51,-6.850000000000113e-11
