Vg,Id,Is,Ig,Vd,Rt,Drain Current (nA),|IG| (pA),gm
0.98,-9.662e-11,-3.996e-11,1.7522e-10,0.05,-517491202.649555,-0.09662,175.22,-4.999999999999879e-12
1.0,-1.017e-10,-3.74e-11,1.5854e-10,0.05,-491642084.562439,-0.1017,158.54,-9.025000000000018e-11
1.02,-1.0023e-10,-4.88e-11,1.4776e-10,0.05,-498852638.93046,-0.10023,147.76,-2.1299999999999957e-10
1.04,-1.1022e-10,-4.319e-11,1.1474e-10,0.05,-453638178.189076,-0.11022,114.74,-1.2550000000000003e-10
1.06,-1.0525e-10,-4.859e-11,1.5051e-10,0.05,-475059382.422803,-0.10525,150.51000000000002,1.549999999999979e-11
1.08,-1.096e-10,-4.025e-11,1.6141e-10,0.05,-456204379.562044,-0.1096,161.41,1.317500000000001e-10
1.1,-9.998e-11,-4.329e-11,1.998e-10,0.05,-500100020.004001,-0.09998,199.8,1.3174999999999967e-10
1.12,-1.0433e-10,-4.337e-11,1.5387e-10,0.05,-479248538.291958,-0.10433,153.87,-6.799999999999894e-11
1.14,-1.027e-10,-4.969e-11,1.4057e-10,0.05,-486854917.234664,-0.1027,140.57000000000002,-8.424999999999834e-11
1.16,-1.077e-10,-4.988e-11,1.2077e-10,0.05,-464252553.389044,-0.1077,120.76999999999998,-1.7649999999999955e-10
1.18,-1.0976e-10,-4.899e-11,1.6189e-10,0.05,-455539358.600583,-0.10976000000000001,161.89,6.800000000000018e-11
1.2,-1.0498e-10,-5.024e-11,1.8481e-10,0.05,-476281196.418365,-0.10497999999999999,184.81,1.3374999999999987e-10
1.22,-1.0441e-10,-4.537e-11,1.8311e-10,0.05,-478881333.205632,-0.10441,183.11,6.77499999999999e-11
1.24,-1.0227e-10,-5.7e-11,1.596e-10,0.05,-488901926.273589,-0.10227,159.6,-1.695000000000003e-10
1.26,-1.1119e-10,-5.39e-11,1.2894e-10,0.05,-449680726.684054,-0.11119000000000001,128.94,-8.500000000000002e-11
1.28,-1.0567e-10,-5.553e-11,1.5675e-10,0.05,-473171193.33775,-0.10567,156.75,6.975000000000051e-11
1.3,-1.084e-10,-5.028e-11,1.6632e-10,0.05,-461254612.546125,-0.1084,166.32,1.9424999999999982e-10
1.32,-9.79e-11,-5.455e-11,2.0259e-10,0.05,-510725229.826353,-0.0979,202.59,1.3024999999999963e-10
1.34,-1.0319e-10,-5.258e-11,1.6292e-10,0.05,-484543075.879446,-0.10318999999999999,162.92,-2.1749999999999847e-11
1.36,-9.877e-11,-6.201e-11,1.5555e-10,0.05,-506226587.02035,-0.09877,155.54999999999998,-6.750000000000375e-11
1.38,-1.0589e-10,-6.105e-11,1.2029e-10,0.05,-472188119.746907,-0.10589,120.29,-1.0350000000000321e-10
1.4,-1.0291e-10,-6.225e-11,1.6691e-10,0.05,-485861432.319502,-0.10291,166.91,3.974999999999958e-11
1.42,-1.043e-10,-6.087e-11,1.8346e-10,0.05,-479386385.426654,-0.1043,183.46,1.4374999999999963e-10
1.44,-9.716e-11,-5.844e-11,1.9792e-10,0.05,-514615067.929189,-0.09716000000000001,197.92,2.302499999999997e-10
1.46,-9.509e-11,-6.633e-11,1.6457e-10,0.05,-525817646.440215,-0.09509000000000001,164.57,-2.249999999999656e-12
1.48,-9.725e-11,-6.628e-11,1.4126e-10,0.05,-514138817.48072,-0.09725,141.26000000000002,-4.999999999999962e-11
1.5,-9.709e-11,-6.875e-11,1.4686e-10,0.05,-514986095.375425,-0.09709,146.85999999999999,-1.2250000000000242e-11
1.52,-9.774e-11,-6.139e-11,1.6842e-10,0.05,-511561285.041948,-0.09774000000000001,168.42,2.3574999999999973e-10
1.54,-8.766e-11,-6.784e-11,2.0238e-10,0.05,-570385580.652521,-0.08766,202.38,1.5849999999999981e-10
1.56,-9.14e-11,-6.594e-11,1.7057e-10,0.05,-547045951.859956,-0.09140000000000001,170.57000000000002,2.6249999999999987e-11
1.58,-8.661e-11,-7.596e-11,1.6076e-10,0.05,-577300542.66251,-0.08660999999999999,160.76,-9.299999999999999e-11
