Vg,Id,Is,Ig,Vd,Rt,Drain Current (nA),|IG| (pA),gm
0.0,6.21e-12,-7.45e-12,-4.08e-12,0.05,8051529790.66022,0.00621,4.08,-3.505e-10
0.02,-8e-13,-8.91e-12,1.466e-11,0.05,-62500000000.0,-0.0008,14.66,-2.250000000000018e-12
0.04,6.12e-12,-1.211e-11,4.954e-11,0.05,8169934640.52288,0.00612,49.54,1.9150000000000004e-10
0.06,6.86e-12,-2.052e-11,1.12e-11,0.05,7288629737.60933,0.006860000000000001,11.200000000000001,-1.0574999999999993e-10
0.08,1.89e-12,-2.385e-11,-1.112e-11,0.05,26455026455.0265,0.0018899999999999998,11.12,-1.4849999999999995e-10
0.1,9.2e-13,-2.971e-11,-1.54e-12,0.05,54347826086.9565,0.0009199999999999999,1.5399999999999998,-1.3275000000000006e-10
0.12,-3.42e-12,-2.245e-11,2.545e-11,0.05,-14619883040.9357,-0.00342,25.45,1.0349999999999954e-10
0.14,5.06e-12,-3.201e-11,6.267e-11,0.05,9881422924.90119,0.00506,62.67,9.324999999999952e-11
0.16,3.1e-13,-3.108e-11,3.924e-11,0.05,161290322580.645,0.00031,39.239999999999995,-6.875000000000005e-11
0.18,2.31e-12,-4.406e-11,3.377e-11,0.05,21645021645.0216,0.00231,33.769999999999996,-1.6574999999999958e-10
0.2,-6.32e-12,-4.438e-11,-3.25e-12,0.05,-7911392405.06329,-0.00632,3.25,-1.3799999999999958e-10
0.22,-3.21e-12,-4.88e-11,4.638e-11,0.05,-15576323987.5389,-0.0032099999999999997,46.38,2.7750000000000008e-11
0.24,-5.21e-12,-4.585e-11,6.131e-11,0.05,-9596928982.72553,-0.00521,61.31000000000001,1.9149999999999955e-10
0.26,4.45e-12,-4.716e-11,9.263e-11,0.05,11235955056.1798,0.00445,92.63,2.212499999999998e-10
0.28,3.64e-12,-5.563e-11,5.28e-11,0.05,13736263736.2637,0.00364,52.800000000000004,-1.240000000000003e-10
0.3,-5.1e-13,-5.767e-11,3.392e-11,0.05,-98039215686.2745,-0.00051,33.919999999999995,-9.150000000000036e-11
0.32,-2e-14,-6.391e-11,4.049e-11,0.05,-2500000000000.0,-2e-05,40.49,-9.69999999999999e-11
0.34,-4.39e-12,-5.718e-11,6.813e-11,0.05,-11389521640.0911,-0.00439,68.13,1.0775000000000095e-10
0.36,4.29e-12,-6.693e-11,1.0491e-10,0.05,11655011655.0117,0.0042899999999999995,104.91,7.750000000000101e-11
0.38,-1.29e-12,-6.547e-11,7.926e-11,0.05,-38759689922.4806,-0.00129,79.26,-6.724999999999994e-11
0.4,1.6e-12,-7.962e-11,7.482e-11,0.05,31250000000.0,0.0016,74.82000000000001,-1.6875000000000097e-10
0.42,-8.04e-12,-7.742e-11,3.609e-11,0.05,-6218905472.63682,-0.00804,36.09,-1.2250000000000108e-10
0.44,-3.3e-12,-8.418e-11,8.372e-11,0.05,-15151515151.5152,-0.0033,83.72,3.9249999999999994e-11
0.46,-6.47e-12,-7.913e-11,9.704e-11,0.05,-7727975270.47913,-0.00647,97.03999999999999,1.2325000000000084e-10
0.48,1.63e-12,-8.064e-11,1.3347e-10,0.05,30674846625.7669,0.00163,133.47,1.947500000000007e-10
0.5,1.32e-12,-8.688e-11,9.024e-11,0.05,37878787878.7879,0.00132,90.24000000000001,-4.749999999999996e-11
0.52,-2.7e-13,-9.171e-11,7.243e-11,0.05,-185185185185.185,-0.00027,72.43,-8.074999999999993e-11
0.54,-1.91e-12,-9.785e-11,6.862e-11,0.05,-26178010471.2042,-0.0019100000000000002,68.62,-9.324999999999992e-11
0.56,-4e-12,-9.086e-11,1.0078e-10,0.05,-12500000000.0,-0.004,100.78,1.4425000000000167e-10
0.58,3.86e-12,-9.911e-11,1.3695e-10,0.05,12953367875.6477,0.00386,136.95,8.225000000000189e-11
