Vg,Id,Is,Ig,Vd,Rt,Drain Current (nA),|IG| (pA),gm
0.0,-1.26e-12,1.526e-11,-9.33e-12,0.05,-39682539682.5397,-0.00126,9.33,-8.73e-10
0.02,-1.872e-11,-4.054e-11,4.339e-11,0.05,-2670940170.94017,-0.01872,43.39,-8.949999999999999e-10
0.04,-3.706e-11,-7.607e-11,6.206e-11,0.05,-1349163518.61846,-0.03706,62.06,-8.377500000000002e-10
0.06,-5.223e-11,-4.525e-11,8.622e-11,0.05,-957304231.284702,-0.05223,86.22,2.1424999999999954e-10
0.08,-2.849e-11,-5.759e-11,1.0105e-10,0.05,-1755001755.00176,-0.02849,101.05,5.852499999999997e-10
0.1,-2.882e-11,-5.41e-11,1.102e-10,0.05,-1734906315.05899,-0.028820000000000002,110.2,4.512500000000004e-10
0.12,-1.044e-11,-7.734e-11,1.1873e-10,0.05,-4789272030.65134,-0.01044,118.73000000000002,-3.2899999999999804e-10
0.14,-4.198e-11,-1.0402e-10,1.0779e-10,0.05,-1191043353.97808,-0.04198,107.78999999999999,-1.1432499999999993e-09
0.16,-5.617e-11,-9.734e-11,1.2194e-10,0.05,-890154886.950329,-0.05617,121.94,-3.7125000000000014e-10
0.18,-5.683e-11,-8.803e-11,1.3788e-10,0.05,-879816998.064403,-0.05683,137.88,4.834999999999994e-10
0.2,-3.683e-11,-8.138e-11,1.5215e-10,0.05,-1357588922.0744,-0.036829999999999995,152.15,6.887499999999993e-10
0.22,-2.928e-11,-1.1157e-10,1.497e-10,0.05,-1707650273.22404,-0.02928,149.70000000000002,-3.3650000000000034e-10
0.24,-5.029e-11,-1.0919e-10,1.498e-10,0.05,-994233446.013124,-0.05029,149.79999999999998,-6.120000000000004e-10
0.26,-5.376e-11,-1.3814e-10,1.459e-10,0.05,-930059523.809524,-0.053759999999999995,145.9,-7.062499999999991e-10
0.28,-7.854e-11,-1.1461e-10,1.5931e-10,0.05,-636618283.677107,-0.07854,159.31,6.100000000000362e-11
0.3,-5.132e-11,-1.0321e-10,1.8237e-10,0.05,-974279033.515199,-0.05132,182.37,1.1120000000000011e-09
