Vg,Id,Is,Ig,Vd,Rt,Drain Current (nA),|IG| (pA),gm
0.0,-3.1e-12,1.2e-12,-8.54e-12,0.05,-16129032258.0645,-0.0031000000000000003,8.540000000000001,-1.7849999999999998e-10
0.02,-6.67e-12,-1.211e-11,-5.547e-11,0.05,-7496251874.06297,-0.00667,55.47,-1.049999999999999e-11
0.04,-3.52e-12,-1.686e-11,5.54e-12,0.05,-14204545454.5455,-0.00352,5.54,-2.200000000000008e-11
0.06,-7.55e-12,-7.94e-12,3.318e-11,0.05,-6622516556.29139,-0.007550000000000001,33.18,1.514999999999999e-10
0.08,2.54e-12,-5.14e-12,5.741e-11,0.05,19685039370.0787,0.00254,57.41,2.8099999999999996e-10
0.1,3.69e-12,-1.904e-11,1.397e-11,0.05,13550135501.355,0.0036899999999999997,13.969999999999999,-2.3025000000000021e-10
0.12,-6.67e-12,-1.523e-11,-2.44e-11,0.05,-7496251874.06297,-0.00667,24.400000000000002,-2.077500000000004e-10
0.14,-4.62e-12,-1.903e-11,-4.28e-12,0.05,-10822510822.5108,-0.00462,4.28,-1.1675000000000032e-10
0.16,-1.134e-11,-5.75e-12,1.331e-11,0.05,-4409171075.83774,-0.01134,13.31,2.5875000000000017e-10
0.18,5.73e-12,-1.416e-11,7.014e-11,0.05,8726003490.4014,0.00573,70.14,2.0800000000000088e-10
0.2,-3.02e-12,-8.69e-12,2.442e-11,0.05,-16556291390.7285,-0.00302,24.42,-8.999999999999948e-11
0.22,2.13e-12,-2.227e-11,2.2e-12,0.05,23474178403.7559,0.00213,2.1999999999999997,-1.665000000000001e-10
0.24,-9.68e-12,-2.189e-11,-4.562e-11,0.05,-5165289256.19835,-0.009680000000000001,45.62,-2.877500000000003e-10
0.26,-9.38e-12,-1.874e-11,2.115e-11,0.05,-5330490405.11727,-0.00938,21.15,5.849999999999998e-11
0.28,-7.34e-12,-1.576e-11,5.076e-11,0.05,-6811989100.81744,-0.007340000000000001,50.76,1.9475000000000034e-10
0.3,-1.59e-12,-1.119e-11,5.899e-11,0.05,-31446540880.5031,-0.00159,58.989999999999995,2.2625000000000028e-10
0.32,1.71e-12,-2.722e-11,2.517e-11,0.05,29239766081.8713,0.00171,25.169999999999998,-2.1524999999999983e-10
0.34,-1.02e-11,-2.039e-11,-2.075e-11,0.05,-4901960784.31373,-0.010199999999999999,20.75,-1.5099999999999886e-10
0.36,-4.33e-12,-2.707e-11,1.365e-11,0.05,-11547344110.8545,-0.0043300000000000005,13.649999999999999,-5.6249999999999056e-11
0.38,-1.245e-11,-1.269e-11,3.233e-11,0.05,-4016064257.02811,-0.01245,32.33,2.147499999999998e-10
0.4,4.26e-12,-2.029e-11,8.087e-11,0.05,11737089201.8779,0.00426,80.87,2.3224999999999845e-10
0.42,-3.16e-12,-1.605e-11,2.649e-11,0.05,-15822784810.1266,-0.00316,26.490000000000002,-7.275000000000086e-11
0.44,1.35e-12,-2.741e-11,5.53e-12,0.05,37037037037.037,0.0013499999999999999,5.53,-1.7924999999999982e-10
0.46,-1.033e-11,-2.927e-11,-3.687e-11,0.05,-4840271055.17909,-0.01033,36.87,-3.202499999999994e-10
0.48,-1.146e-11,-2.523e-11,2.509e-11,0.05,-4363001745.2007,-0.01146,25.09,8.849999999999962e-11
0.5,-6.79e-12,-2.129e-11,5.895e-11,0.05,-7363770250.36819,-0.00679,58.95,2.234999999999998e-10
0.52,-2.52e-12,-1.763e-11,5.92e-11,0.05,-19841269841.2698,-0.00252,59.2,1.8774999999999984e-10
0.54,7.2e-13,-3.197e-11,2.505e-11,0.05,69444444444.4444,0.0007199999999999999,25.05,-2.282499999999998e-10
0.56,-1.165e-11,-2.506e-11,-1.555e-11,0.05,-4291845493.56223,-0.01165,15.55,-1.509999999999977e-10
0.58,-5.32e-12,-3.106e-11,1.404e-11,0.05,-9398496240.6015,-0.00532,14.040000000000001,1.3500000000001711e-11
0.6,-1.111e-11,-1.76e-11,3.259e-11,0.05,-4500450045.0045,-0.01111,32.59,2.1024999999999982e-10
0.62,3.09e-12,-2.39e-11,8.956e-11,0.05,16181229773.4628,0.00309,89.56,1.8874999999999981e-10
0.64,-3.56e-12,-1.969e-11,3.622e-11,0.05,-14044943820.2247,-0.0035600000000000002,36.22,-1.749999999999994e-12
0.66,3.02e-12,-3.227e-11,1.282e-11,0.05,16556291390.7285,0.00302,12.82,-1.6449999999999987e-10
0.68,-1.014e-11,-3.506e-11,-2.817e-11,0.05,-4930966469.42801,-0.01014,28.17,-3.53999999999999e-10
0.7,-1.114e-11,-2.924e-11,3.661e-11,0.05,-4488330341.11311,-0.01114,36.61,5.324999999999956e-11
0.72,-8.01e-12,-2.779e-11,6.627e-11,0.05,-6242197253.43321,-0.00801,66.27,2.452499999999998e-10
0.74,-1.33e-12,-2.309e-11,6.207e-11,0.05,-37593984962.406,-0.00133,62.07,2.4799999999999976e-10
0.76,1.91e-12,-3.77e-11,2.777e-11,0.05,26178010471.2042,0.0019100000000000002,27.770000000000003,-2.387499999999998e-10
0.78,-1.088e-11,-3.275e-11,-2.177e-11,0.05,-4595588235.29412,-0.01088,21.77,-1.189999999999999e-10
0.8,-2.85e-12,-3.836e-11,1.886e-11,0.05,-17543859649.1228,-0.00285,18.86,3.924999999999803e-11
