Vg,Id,Is,Ig,Vd,Rt,Drain Current (nA),|IG| (pA),gm
0.0,1.06e-12,-2.47e-12,1.48e-12,0.05,47169811320.7547,0.00106,1.48,-4.2e-11
0.02,2.2e-13,-1.229e-11,-4.08e-12,0.05,227272727272.727,0.00022,4.08,-8.55e-11
0.04,-2.36e-12,-1.777e-11,1.78e-12,0.05,-21186440677.9661,-0.00236,1.78,-1.6750000000000004e-10
0.06,-6.48e-12,-1.367e-11,1.585e-11,0.05,-7716049382.71605,-0.00648,15.85,3.049999999999991e-11
0.08,-1.14e-12,-2.051e-11,3.964e-11,0.05,-43859649122.807,-0.00114,39.64,8.474999999999998e-11
0.1,-3.09e-12,-1.94e-11,2.996e-11,0.05,-16181229773.4628,-0.00309,29.96,-1.974999999999995e-11
0.12,-1.93e-12,-3.095e-11,2.775e-11,0.05,-25906735751.2953,-0.00193,27.75,-1.0974999999999972e-10
0.14,-7.48e-12,-3.057e-11,1.049e-11,0.05,-6684491978.60962,-0.00748,10.49,-9.674999999999976e-11
0.16,-5.8e-12,-3.496e-11,3.325e-11,0.05,-8620689655.17241,-0.0058000000000000005,33.25,-6.800000000000005e-11
0.18,-1.02e-11,-3.015e-11,4.569e-11,0.05,-4901960784.31373,-0.010199999999999999,45.69,1.0824999999999955e-10
0.2,-1.47e-12,-3.362e-11,6.435e-11,0.05,-34013605442.1769,-0.00147,64.35000000000001,1.5349999999999957e-10
0.22,-4.06e-12,-3.709e-11,4.464e-11,0.05,-12315270935.9606,-0.00406,44.64,-9.900000000000005e-11
0.24,-5.43e-12,-4.285e-11,3.401e-11,0.05,-9208103130.75506,-0.00543,34.01,-5.0750000000000006e-11
0.26,-6.09e-12,-4.654e-11,3.706e-11,0.05,-8210180623.97373,-0.00609,37.06,-1.3749999999999986e-10
0.28,-1.093e-11,-4.241e-11,5.156e-11,0.05,-4574565416.28545,-0.01093,51.56,4.2500000000000836e-11
0.3,-4.39e-12,-4.815e-11,7.462e-11,0.05,-11389521640.0911,-0.00439,74.61999999999999,1.5550000000000055e-10
0.32,-4.71e-12,-4.726e-11,6.029e-11,0.05,-10615711252.6539,-0.00471,60.290000000000006,-1.9999999999999996e-11
0.34,-5.19e-12,-5.72e-11,5.674e-11,0.05,-9633911368.01541,-0.00519,56.74,-1.4600000000000043e-10
0.36,-1.055e-11,-5.793e-11,3.925e-11,0.05,-4739336492.891,-0.01055,39.25,-9.525000000000052e-11
0.38,-9e-12,-6.098e-11,6.403e-11,0.05,-5555555555.55556,-0.009,64.03,-3.024999999999997e-11
0.4,-1.176e-11,-5.91e-11,7.54e-11,0.05,-4251700680.27211,-0.01176,75.4,1.0200000000000071e-10
0.42,-4.92e-12,-5.932e-11,9.059e-11,0.05,-10162601626.0163,-0.00492,90.58999999999999,1.3650000000000064e-10
0.44,-6.3e-12,-6.664e-11,7.345e-11,0.05,-7936507936.50794,-0.0063,73.45,-7.174999999999993e-11
0.46,-7.79e-12,-6.96e-11,6.358e-11,0.05,-6418485237.48395,-0.00779,63.58,-3.67499999999999e-11
0.48,-7.77e-12,-7.395e-11,7.236e-11,0.05,-6435006435.00643,-0.007769999999999999,72.36,-1.1574999999999976e-10
0.5,-1.242e-11,-6.989e-11,8.544e-11,0.05,-4025764895.33011,-0.01242,85.44,7.699999999999994e-11
0.52,-4.69e-12,-7.331e-11,1.0774e-10,0.05,-10660980810.2345,-0.00469,107.74,1.6099999999999988e-10
0.54,-5.98e-12,-7.559e-11,8.724e-11,0.05,-8361204013.37793,-0.00598,87.24,-4.4999999999999974e-11
0.56,-6.49e-12,-8.299e-11,8.044e-11,0.05,-7704160246.53313,-0.00649,80.44,-8.875000000000052e-11
0.58,-9.53e-12,-8.678e-11,7.086e-11,0.05,-5246589716.68416,-0.00953,70.86,-1.2575000000000032e-10
0.6,-1.152e-11,-8.471e-11,9.342e-11,0.05,-4340277777.77778,-0.011519999999999999,93.42,5.299999999999992e-11
0.62,-7.41e-12,-8.764e-11,1.1172e-10,0.05,-6747638326.5857,-0.00741,111.72,1.2724999999999987e-10
0.64,-6.43e-12,-8.728e-11,1.0746e-10,0.05,-7776049766.71851,-0.00643,107.46,3.799999999999997e-11
0.66,-5.89e-12,-9.613e-11,1.0083e-10,0.05,-8488964346.34975,-0.00589,100.83,-9.224999999999994e-11
0.68,-1.012e-11,-9.595e-11,8.405e-11,0.05,-4940711462.45059,-0.01012,84.05,-3.6249999999999125e-11
