Vg,Id,Is,Ig,Vd,Rt,Drain Current (nA),|IG| (pA),gm
0.0,8.02e-12,-7.73e-12,-3.06e-12,0.05,6234413965.08728,0.00802,3.06,-2.349999999999997e-11
0.02,7.55e-12,-1.498e-11,-1.09e-12,0.05,6622516556.29139,0.007550000000000001,1.09,-3.13e-10
0.04,-4.5e-12,-1.355e-11,-3.548e-11,0.05,-11111111111.1111,-0.0045,35.480000000000004,-2.8075e-10
0.06,-3.68e-12,-1.581e-11,1.555e-11,0.05,-13586956521.7391,-0.0036799999999999997,15.55,-8.199999999999996e-11
0.08,-7.78e-12,-1.198e-11,3.685e-11,0.05,-6426735218.509,-0.00778,36.85,-8.35e-11
0.1,-7.02e-12,-1.056e-11,6.771e-11,0.05,-7122507122.50712,-0.00702,67.71000000000001,-4.1500000000000115e-11
0.12,-9.44e-12,-1.548e-11,2.297e-11,0.05,-5296610169.49153,-0.00944,22.97,-1.5424999999999993e-10
0.14,-1.319e-11,-1.722e-11,2.82e-12,0.05,-3790750568.61259,-0.01319,2.8200000000000003,-1.6474999999999987e-10
0.16,-1.603e-11,-2.063e-11,6.94e-12,0.05,-3119151590.76731,-0.01603,6.9399999999999995,-2.3725000000000014e-10
0.18,-2.268e-11,-1.271e-11,3.899e-11,0.05,-2204585537.91887,-0.02268,38.99,-1.5000000000004601e-12
0.2,-1.609e-11,-1.857e-11,7.439e-11,0.05,-3107520198.88129,-0.01609,74.39,-3.225000000000048e-11
0.22,-2.397e-11,-1.541e-11,5.177e-11,0.05,-2085940759.28244,-0.023969999999999998,51.769999999999996,-1.9025000000000004e-10
0.24,-2.37e-11,-2.621e-11,4.089e-11,0.05,-2109704641.35021,-0.0237,40.89,-3.0324999999999944e-10
0.26,-3.61e-11,-2.168e-11,3.61e-12,0.05,-1385041551.24654,-0.0361,3.6100000000000003,-2.2849999999999988e-10
0.28,-3.284e-11,-2.5e-11,5.46e-11,0.05,-1522533495.73691,-0.03284,54.599999999999994,-6.450000000000076e-11
0.3,-3.868e-11,-1.729e-11,6.992e-11,0.05,-1292657704.23992,-0.03868,69.92,-1.3000000000000886e-11
0.32,-3.336e-11,-1.951e-11,1.0651e-10,0.05,-1498800959.23261,-0.03336,106.51,4.900000000000014e-11
0.34,-3.672e-11,-2.033e-11,5.778e-11,0.05,-1361655773.42048,-0.036719999999999996,57.78,-1.6725000000000012e-10
0.36,-4.005e-11,-2.374e-11,4.767e-11,0.05,-1248439450.68664,-0.04005,47.67,-2.1350000000000004e-10
0.38,-4.526e-11,-2.747e-11,3.053e-11,0.05,-1104728236.85373,-0.04526,30.529999999999998,-2.1449999999999962e-10
0.4,-4.863e-11,-2.135e-11,7.406e-11,0.05,-1028171910.34341,-0.04863,74.06,-5.999999999999359e-12
0.42,-4.55e-11,-2.466e-11,1.0424e-10,0.05,-1098901098.9011,-0.0455,104.24,-2.0749999999999747e-11
0.44,-4.946e-11,-2.164e-11,9.71e-11,0.05,-1010917913.46543,-0.049460000000000004,97.10000000000001,-1.1075000000000006e-10
0.46,-4.993e-11,-3.249e-11,8.017e-11,0.05,-1001401962.74785,-0.04993,80.17,-3.010000000000005e-10
0.48,-6.15e-11,-2.751e-11,4.774e-11,0.05,-813008130.081301,-0.06149999999999999,47.74,-1.9625000000000105e-10
0.5,-5.778e-11,-3.077e-11,8.484e-11,0.05,-865351332.641052,-0.05778,84.84,-3.5500000000000136e-11
0.52,-6.292e-11,-2.169e-11,9.679e-11,0.05,-794659885.568977,-0.06292,96.78999999999999,3.649999999999982e-11
0.54,-5.632e-11,-2.648e-11,1.4158e-10,0.05,-887784090.909091,-0.05632,141.57999999999998,5.79999999999998e-11
0.56,-6.06e-11,-2.587e-11,9.306e-11,0.05,-825082508.250825,-0.0606,93.06,-1.580000000000005e-10
0.58,-6.264e-11,-3.111e-11,8.633e-11,0.05,-798212005.108557,-0.06264,86.33,-2.659999999999995e-10
0.6,-7.124e-11,-3.411e-11,5.516e-11,0.05,-701852891.633914,-0.07124,55.16,-2.632499999999999e-10
0.62,-7.317e-11,-3.233e-11,1.049e-10,0.05,-683340166.735001,-0.07317,104.89999999999999,-3.624999999999995e-11
0.64,-7.269e-11,-3.236e-11,1.3033e-10,0.05,-687852524.418765,-0.07268999999999999,130.33,5.2250000000000104e-11
0.66,-7.108e-11,-2.898e-11,1.3792e-10,0.05,-703432751.828925,-0.07108,137.92,2.3000000000000024e-11
0.68,-7.177e-11,-3.867e-11,1.1069e-10,0.05,-696669917.79295,-0.07177,110.69,-2.2275000000000174e-10
0.7,-7.999e-11,-3.548e-11,8.345e-11,0.05,-625078134.766846,-0.07999,83.44999999999999,-1.475000000000014e-10
0.72,-7.767e-11,-3.878e-11,1.0613e-10,0.05,-643749195.313506,-0.07767,106.13,-6.149999999999984e-11
0.74,-8.245e-11,-2.812e-11,1.2358e-10,0.05,-606428138.265615,-0.08245,123.58,9.599999999999967e-11
0.76,-7.383e-11,-3.739e-11,1.6306e-10,0.05,-677231477.719084,-0.07383,163.06,5.2999999999999714e-11
0.78,-8.033e-11,-3.414e-11,1.1809e-10,0.05,-622432466.077431,-0.08033,118.09,-8.69999999999998e-11
0.8,-7.731e-11,-4.241e-11,1.1829e-10,0.05,-646746863.277713,-0.07731,118.29,-2.1075000000000281e-10
0.82,-8.876e-11,-4.143e-11,8.015e-11,0.05,-563316809.373592,-0.08876,80.15,-2.3125000000000248e-10
0.84,-8.656e-11,-4.393e-11,1.3067e-10,0.05,-577634011.090573,-0.08656,130.67,-3.750000000000116e-12
