Vg,Id,Is,Ig,Vd,Rt,Ib,I_handle
0,1.956E-11,-3.868E-11,-5.37E-12,0.05,2556237218.81391,,
0.02,-1.11E-11,-2.585E-11,6.73E-11,0.05,-4504504504.5045,,
0.04,-1.554E-11,-2.127E-11,8.003E-11,0.05,-3217503217.50322,,
0.06,-1.064E-11,-5.796E-11,7.506E-11,0.05,-4699248120.30075,,
0.08,-4.016E-11,-6.302E-11,8.338E-11,0.05,-1245019920.31873,,
0.1,-5.973E-11,-5.821E-11,8.986E-11,0.05,-837100284.614097,,
0.12,-5.218E-11,-4.784E-11,1.0734E-10,0.05,-958221540.820238,,
0.14,-4.608E-11,-3.301E-11,1.1874E-10,0.05,-1085069444.44444,,
0.16,-4.487E-11,-6.6E-11,1.1454E-10,0.05,-1114330287.49721,,
0.18,-6.44E-11,-6.525E-11,1.1668E-10,0.05,-776397515.52795,,
0.2,-7.275E-11,-9.417E-11,1.094E-10,0.05,-687285223.367698,,
0.22,-1.0016E-10,-5.642E-11,1.2839E-10,0.05,-499201277.955272,,
0.24,-7.135E-11,-5.623E-11,1.5188E-10,0.05,-700770847.932726,,
0.26,-7.582E-11,-4.625E-11,1.476E-10,0.05,-659456607.75521,,
0.28,-6.318E-11,-7.433E-11,1.4731E-10,0.05,-791389680.278569,,
0.3,-9.994E-11,-8.945E-11,1.412E-10,0.05,-500300180.108065,,
0.32,-1.0567E-10,-7.972E-11,1.5099E-10,0.05,-473171193.33775,,
0.34,-1.1545E-10,-6.927E-11,1.6141E-10,0.05,-433087916.84712,,
0.36,-9.606E-11,-4.795E-11,1.8072E-10,0.05,-520508015.823444,,
0.38,-8.743E-11,-7.658E-11,1.8438E-10,0.05,-571886080.292806,,
0.4,-1.0934E-10,-7.921E-11,1.7617E-10,0.05,-457289189.683556,,
0.42,-1.1133E-10,-9.856E-11,1.7511E-10,0.05,-449115242.971346,,
0.44,-1.3206E-10,-6.747E-11,1.9295E-10,0.05,-378615780.70574,,
0.46,-1.0755E-10,-7.664E-11,2.0436E-10,0.05,-464900046.490005,,
0.48,-1.1324E-10,-5.333E-11,2.1485E-10,0.05,-441540091.840339,,
0.5,-1.0065E-10,-9.003E-11,2.0905E-10,0.05,-496770988.574267,,
0.52,-1.3189E-10,-9.846E-11,1.9862E-10,0.05,-379103798.620062,,
0.54,-1.4341E-10,-1.1128E-10,2.0424E-10,0.05,-348650721.706994,,
0.56,-1.5108E-10,-8.083E-11,2.201E-10,0.05,-330950489.806725,,
0.58,-1.3027E-10,-7.51E-11,2.3134E-10,0.05,-383818223.689261,,
0.6,-1.2664E-10,-8.385E-11,2.2541E-10,0.05,-394819962.097284,,
0.62,-1.2988E-10,-9.567E-11,2.3179E-10,0.05,-384970742.223591,,
0.64,-1.569E-10,-1.2014E-10,2.1504E-10,0.05,-318674314.850223,,
0.66,-1.6886E-10,-9.037E-11,2.3302E-10,0.05,-296103280.824351,,
0.68,-1.4885E-10,-9.66E-11,2.4842E-10,0.05,-335908632.851864,,
0.7,-1.4875E-10,-7.197E-11,2.5708E-10,0.05,-336134453.781513,,
0.72,-1.2694E-10,-1.0571E-10,2.5749E-10,0.05,-393886875.689302,,
0.74,-1.5906E-10,-1.0284E-10,2.4149E-10,0.05,-314346787.375833,,
0.76,-1.6424E-10,-1.1813E-10,2.4753E-10,0.05,-304432537.749635,,
0.78,-1.8397E-10,-9.869E-11,2.5118E-10,0.05,-271783442.952655,,
0.8,-1.4858E-10,-8.129E-11,2.8525E-10,0.05,-336519046.978059,,
0.82,-1.4453E-10,-9.744E-11,2.6157E-10,0.05,-345948937.93676,,
0.84,-1.4115E-10,-1.116E-10,2.6985E-10,0.05,-354233085.370174,,
0.86,-1.6343E-10,-1.2998E-10,2.5309E-10,0.05,-305941381.631279,,
0.88,-1.7676E-10,-1.2093E-10,2.7309E-10,0.05,-282869427.472279,,
0.9,-1.6941E-10,-1.1061E-10,2.8058E-10,0.05,-295141963.28434,,
0.92,-1.5707E-10,-8.879E-11,2.6778E-10,0.05,-318329407.270644,,
0.94,-1.505E-10,-1.2341E-10,2.9301E-10,0.05,-332225913.621262,,
0.96,-1.6965E-10,-1.3408E-10,2.8116E-10,0.05,-294724432.655467,,
0.98,-1.7008E-10,-1.434E-10,2.8619E-10,0.05,-293979303.857008,,
1,-1.998E-10,-1.1482E-10,2.8461E-10,0.05,-250250250.25025,,
1.02,-1.6086E-10,-1.07E-10,3.018E-10,0.05,-310829292.55253,,
1.04,-1.5711E-10,-1.0578E-10,2.9426E-10,0.05,-318248361.020941,,
1.06,-1.505E-10,-1.2951E-10,2.9457E-10,0.05,-332225913.621262,,
1.08,-1.6584E-10,-1.4289E-10,2.8754E-10,0.05,-301495417.269657,,
1.1,-1.849E-10,-1.3272E-10,2.8931E-10,0.05,-270416441.319632,,
1.12,-1.7088E-10,-1.2625E-10,2.988E-10,0.05,-292602996.254682,,
1.14,-1.5723E-10,-1.1084E-10,3.1266E-10,0.05,-318005469.694079,,
1.16,-1.4197E-10,-1.4148E-10,3.0697E-10,0.05,-352187081.77784,,
1.18,-1.6777E-10,-1.4909E-10,3.0057E-10,0.05,-298027060.857126,,
1.2,-1.6254E-10,-1.7541E-10,2.9871E-10,0.05,-307616586.686354,,
1.22,-1.8172E-10,-1.4681E-10,3.0634E-10,0.05,-275148580.233326,,
1.24,-1.6066E-10,-1.4565E-10,3.1922E-10,0.05,-311216233.038715,,
1.26,-1.5588E-10,-1.2738E-10,3.1848E-10,0.05,-320759558.634847,,
1.28,-1.3886E-10,-1.5678E-10,3.1817E-10,0.05,-360074895.57828,,
1.3,-1.6881E-10,-1.6839E-10,2.9921E-10,0.05,-296190983.946449,,
1.32,-1.7178E-10,-1.8068E-10,2.9517E-10,0.05,-291069973.221562,,
1.34,-1.7458E-10,-1.5403E-10,3.1476E-10,0.05,-286401649.673502,,
1.36,-1.4549E-10,-1.4056E-10,3.3067E-10,0.05,-343666231.356107,,
1.38,-1.3496E-10,-1.5939E-10,3.2294E-10,0.05,-370480142.264375,,
1.4,-1.3907E-10,-1.6679E-10,3.1395E-10,0.05,-359531171.352556,,
1.42,-1.5251E-10,-1.9014E-10,3.081E-10,0.05,-327847354.271851,,
1.44,-1.631E-10,-1.7065E-10,3.1306E-10,0.05,-306560392.397302,,
