Vg,Id,Is,Ig,Vd,Rt,Ib,I_handle
0,4.66E-12,-6.9303E-10,6.7531E-10,0.05,10729613733.9056,,
0.02,3.07E-12,-3.4992E-09,3.5057E-09,0.05,16286644951.1401,,
0.04,6.28E-12,-6.1735E-09,6.1949E-09,0.05,7961783439.49045,,
0.06,2.73E-12,-8.6109E-09,8.6261E-09,0.05,18315018315.0183,,
0.08,2.79E-12,-1.07574E-08,1.07436E-08,0.05,17921146953.405,,
0.1,-1.456E-11,-1.26854E-08,1.26241E-08,0.05,-3434065934.06593,,
0.12,-5.54E-12,-1.4268E-08,1.4232E-08,0.05,-9025270758.12274,,
0.14,-3.78E-12,-1.5758E-08,1.57184E-08,0.05,-13227513227.5132,,
0.16,-5.45E-12,-1.70942E-08,1.70392E-08,0.05,-9174311926.60551,,
0.18,3.28E-12,-1.83408E-08,1.82807E-08,0.05,15243902439.0244,,
0.2,1.128E-11,-1.9537E-08,1.94671E-08,0.05,4432624113.47518,,
0.22,1.956E-11,-2.0683E-08,2.06366E-08,0.05,2556237218.81391,,
0.24,1.913E-11,-2.18002E-08,2.17048E-08,0.05,2613695765.81286,,
0.26,-3E-12,-2.28042E-08,2.2753E-08,0.05,-16666666666.6667,,
0.28,1.621E-11,-2.38306E-08,2.38113E-08,0.05,3084515731.03023,,
0.3,7.11E-12,-2.50004E-08,2.49113E-08,0.05,7032348804.5007,,
0.32,4.82E-12,-2.59896E-08,2.59782E-08,0.05,10373443983.4025,,
0.34,6.69E-12,-2.70756E-08,2.69959E-08,0.05,7473841554.55904,,
0.36,-3.7E-12,-2.80744E-08,2.80355E-08,0.05,-13513513513.5135,,
0.38,1.057E-11,-2.90648E-08,2.90168E-08,0.05,4730368968.77956,,
0.4,4.63E-12,-3.01174E-08,3.00367E-08,0.05,10799136069.1145,,
0.42,3.28E-12,-3.09898E-08,3.09786E-08,0.05,15243902439.0244,,
0.44,-8.65E-12,-3.19714E-08,3.18895E-08,0.05,-5780346820.80925,,
0.46,-1.091E-11,-3.2898E-08,3.29009E-08,0.05,-4582951420.71494,,
0.48,2.9E-12,-3.39218E-08,3.38306E-08,0.05,17241379310.3448,,
0.5,2.46E-11,-3.47838E-08,3.47832E-08,0.05,2032520325.20325,,
0.52,1.5E-11,-3.56922E-08,3.57144E-08,0.05,3333333333.33333,,
0.54,-1.195E-11,-3.66582E-08,3.67651E-08,0.05,-4184100418.41004,,
0.56,-9.31E-12,-3.76558E-08,3.75948E-08,0.05,-5370569280.34372,,
0.58,-3.389E-11,-3.85004E-08,3.84267E-08,0.05,-1475361463.55857,,
0.6,-4.71E-12,-3.93184E-08,3.92022E-08,0.05,-10615711252.6539,,
0.62,-6.14E-12,-4.0136E-08,4.00797E-08,0.05,-8143322475.57003,,
0.64,-1.132E-11,-4.09748E-08,4.08968E-08,0.05,-4416961130.74205,,
0.66,-6.8E-13,-4.17452E-08,4.18372E-08,0.05,-73529411764.7059,,
0.68,-5.628E-11,-4.26972E-08,4.26577E-08,0.05,-888415067.519545,,
0.7,-1.703E-11,-4.35334E-08,4.34213E-08,0.05,-2935995302.40752,,
0.72,2.153E-11,-4.4332E-08,4.4265E-08,0.05,2322340919.647,,
0.74,3.999E-11,-4.5189E-08,4.51006E-08,0.05,1250312578.14454,,
0.76,-5.08E-12,-4.58284E-08,4.58339E-08,0.05,-9842519685.03937,,
0.78,-6.19E-12,-4.6721E-08,4.66584E-08,0.05,-8077544426.49435,,
0.8,-1.018E-11,-4.73838E-08,4.73602E-08,0.05,-4911591355.59921,,
0.82,1.46E-12,-4.81466E-08,4.81282E-08,0.05,34246575342.4658,,
0.84,3.713E-11,-4.89904E-08,4.89794E-08,0.05,1346619983.84056,,
0.86,5.004E-11,-4.97392E-08,4.97502E-08,0.05,999200639.488409,,
0.88,6.26E-12,-5.0557E-08,5.04574E-08,0.05,7987220447.28434,,
0.9,-5.429E-11,-5.11554E-08,5.1205E-08,0.05,-920979922.637686,,
0.92,7.642E-11,-5.21694E-08,5.19628E-08,0.05,654278984.559016,,
0.94,-1.4615E-10,-5.27832E-08,5.27331E-08,0.05,-342114266.164899,,
0.96,-7.06E-12,-5.34052E-08,5.34108E-08,0.05,-7082152974.50425,,
0.98,-1.529E-11,-5.42566E-08,5.42363E-08,0.05,-3270111183.78025,,
1,-3.005E-11,-5.48268E-08,5.48717E-08,0.05,-1663893510.81531,,
1.02,-7.1E-13,-5.55048E-08,5.53899E-08,0.05,-70422535211.2676,,
1.04,-7.63E-12,-5.61426E-08,5.61552E-08,0.05,-6553079947.57536,,
1.06,1.986E-11,-5.68922E-08,5.68566E-08,0.05,2517623363.54481,,
1.08,7.17E-12,-5.77186E-08,5.74589E-08,0.05,6973500697.35007,,
1.1,1.391E-11,-5.81846E-08,5.82355E-08,0.05,3594536304.81668,,
1.12,2.17E-12,-5.89722E-08,5.89381E-08,0.05,23041474654.3779,,
1.14,2.474E-11,-5.97414E-08,5.97065E-08,0.05,2021018593.37106,,
1.16,-1.335E-11,-6.0335E-08,6.04357E-08,0.05,-3745318352.05993,,
1.18,3.622E-11,-6.106E-08,6.10617E-08,0.05,1380452788.51463,,
1.2,9.6E-13,-6.1501E-08,6.14849E-08,0.05,52083333333.3333,,
1.22,-1.04E-11,-6.22788E-08,6.2227E-08,0.05,-4807692307.69231,,
1.24,1.63E-11,-6.2987E-08,6.29452E-08,0.05,3067484662.57669,,
1.26,9.19E-12,-6.35158E-08,6.35416E-08,0.05,5440696409.14037,,
1.28,-8.9E-13,-6.42056E-08,6.42353E-08,0.05,-56179775280.8989,,
1.3,2.389E-11,-6.48798E-08,6.47754E-08,0.05,2092925910.42277,,
1.32,-1.854E-11,-6.55108E-08,6.55439E-08,0.05,-2696871628.91046,,
1.34,2.203E-11,-6.6181E-08,6.61183E-08,0.05,2269632319.56423,,
1.36,-2.91E-11,-6.68154E-08,6.67189E-08,0.05,-1718213058.41924,,
1.38,2.75E-12,-6.74398E-08,6.74049E-08,0.05,18181818181.8182,,
1.4,1.614E-11,-6.7957E-08,6.79151E-08,0.05,3097893432.46592,,
1.42,-7.56E-12,-6.8555E-08,6.85569E-08,0.05,-6613756613.75661,,
1.44,9.44E-12,-6.9258E-08,6.92386E-08,0.05,5296610169.49153,,
1.46,1.122E-11,-6.99254E-08,6.99285E-08,0.05,4456327985.73975,,
1.48,-1.227E-11,-7.05362E-08,7.04462E-08,0.05,-4074979625.10187,,
1.5,2.82E-12,-7.11426E-08,7.10904E-08,0.05,17730496453.9007,,
1.52,2.895E-11,-7.16662E-08,7.16761E-08,0.05,1727115716.75302,,
1.54,1.25E-12,-7.22444E-08,7.22517E-08,0.05,40000000000,,
1.56,2.059E-11,-7.2985E-08,7.29781E-08,0.05,2428363283.14716,,
1.58,4.019E-11,-7.35572E-08,7.35961E-08,0.05,1244090569.79348,,
1.6,8.19E-12,-7.43516E-08,7.42009E-08,0.05,6105006105.0061,,
1.62,-1.072E-11,-7.46516E-08,7.46898E-08,0.05,-4664179104.47761,,
1.64,1.725E-11,-7.52932E-08,7.52574E-08,0.05,2898550724.63768,,
1.66,-8.4E-13,-7.59554E-08,7.58186E-08,0.05,-59523809523.8095,,
1.68,-2.563E-11,-7.64732E-08,7.64141E-08,0.05,-1950838860.71011,,
1.7,8.7E-12,-7.71266E-08,7.70201E-08,0.05,5747126436.78161,,
1.72,5.37E-12,-7.75328E-08,7.75712E-08,0.05,9310986964.61825,,
1.74,1.62E-12,-7.79116E-08,7.7944E-08,0.05,30864197530.8642,,
1.76,-4.27E-12,-7.86464E-08,7.86366E-08,0.05,-11709601873.5363,,
1.78,4.16E-12,-7.9307E-08,7.94395E-08,0.05,12019230769.2308,,
1.8,3.334E-11,-8.00736E-08,7.98584E-08,0.05,1499700059.988,,
1.82,7.3E-13,-8.00812E-08,8.02349E-08,0.05,68493150684.9315,,
1.84,1.012E-11,-8.10596E-08,8.10076E-08,0.05,4940711462.45059,,
1.86,-3.288E-11,-8.16364E-08,8.16751E-08,0.05,-1520681265.20681,,
1.88,6.76E-12,-8.21776E-08,8.21862E-08,0.05,7396449704.14201,,
1.9,1.813E-11,-8.28488E-08,8.27148E-08,0.05,2757859900.71704,,
1.92,4.65E-12,-8.32624E-08,8.32309E-08,0.05,10752688172.043,,
1.94,3.51E-12,-8.38388E-08,8.38303E-08,0.05,14245014245.0142,,
1.96,-1.917E-11,-8.4377E-08,8.43401E-08,0.05,-2608242044.86176,,
1.98,2.187E-11,-8.50446E-08,8.49831E-08,0.05,2286236854.13809,,
2,-1.669E-11,-8.54056E-08,8.54E-08,0.05,-2995805871.77951,,
2.02,3.149E-11,-8.59324E-08,8.60592E-08,0.05,1587805652.58812,,
2.04,-1.846E-11,-8.67004E-08,8.66568E-08,0.05,-2708559046.58722,,
2.06,-3.845E-11,-8.71172E-08,8.7164E-08,0.05,-1300390117.03511,,
2.08,5.05E-12,-8.75988E-08,8.74524E-08,0.05,9900990099.0099,,
2.1,8.18E-12,-8.80412E-08,8.80979E-08,0.05,6112469437.65281,,
2.12,1.29E-12,-8.86174E-08,8.88075E-08,0.05,38759689922.4806,,
2.14,5.134E-11,-8.95314E-08,8.93784E-08,0.05,973899493.572263,,
2.16,2.861E-11,-8.99298E-08,8.98964E-08,0.05,1747640685.07515,,
2.18,-1.172E-11,-9.04504E-08,9.04311E-08,0.05,-4266211604.09556,,
2.2,2.444E-11,-9.10406E-08,9.08365E-08,0.05,2045826513.91162,,
2.22,-1.315E-11,-9.15632E-08,9.15219E-08,0.05,-3802281368.82129,,
2.24,1.882E-11,-9.22108E-08,9.21418E-08,0.05,2656748140.2763,,
2.26,9.49E-12,-9.25614E-08,9.25309E-08,0.05,5268703898.84089,,
2.28,-1.25E-11,-9.33252E-08,9.31757E-08,0.05,-4000000000,,
