Vg,Id,Is,Ig,Vd,Rt,Ib,I_handle
0,8.02E-12,-7.73E-12,-3.06E-12,0.05,6234413965.08728,,
0.02,7.55E-12,-1.498E-11,-1.09E-12,0.05,6622516556.29139,,
0.04,-4.5E-12,-1.355E-11,-3.548E-11,0.05,-11111111111.1111,,
0.06,-3.68E-12,-1.581E-11,1.555E-11,0.05,-13586956521.7391,,
0.08,-7.78E-12,-1.198E-11,3.685E-11,0.05,-6426735218.509,,
0.1,-7.02E-12,-1.056E-11,6.771E-11,0.05,-7122507122.50712,,
0.12,-9.44E-12,-1.548E-11,2.297E-11,0.05,-5296610169.49153,,
0.14,-1.319E-11,-1.722E-11,2.82E-12,0.05,-3790750568.61259,,
0.16,-1.603E-11,-2.063E-11,6.94E-12,0.05,-3119151590.76731,,
0.18,-2.268E-11,-1.271E-11,3.899E-11,0.05,-2204585537.91887,,
0.2,-1.609E-11,-1.857E-11,7.439E-11,0.05,-3107520198.88129,,
0.22,-2.397E-11,-1.541E-11,5.177E-11,0.05,-2085940759.28244,,
0.24,-2.37E-11,-2.621E-11,4.089E-11,0.05,-2109704641.35021,,
0.26,-3.61E-11,-2.168E-11,3.61E-12,0.05,-1385041551.24654,,
0.28,-3.284E-11,-2.5E-11,5.46E-11,0.05,-1522533495.73691,,
0.3,-3.868E-11,-1.729E-11,6.992E-11,0.05,-1292657704.23992,,
0.32,-3.336E-11,-1.951E-11,1.0651E-10,0.05,-1498800959.23261,,
0.34,-3.672E-11,-2.033E-11,5.778E-11,0.05,-1361655773.42048,,
0.36,-4.005E-11,-2.374E-11,4.767E-11,0.05,-1248439450.68664,,
0.38,-4.526E-11,-2.747E-11,3.053E-11,0.05,-1104728236.85373,,
0.4,-4.863E-11,-2.135E-11,7.406E-11,0.05,-1028171910.34341,,
0.42,-4.55E-11,-2.466E-11,1.0424E-10,0.05,-1098901098.9011,,
0.44,-4.946E-11,-2.164E-11,9.71E-11,0.05,-1010917913.46543,,
0.46,-4.993E-11,-3.249E-11,8.017E-11,0.05,-1001401962.74785,,
0.48,-6.15E-11,-2.751E-11,4.774E-11,0.05,-813008130.081301,,
0.5,-5.778E-11,-3.077E-11,8.484E-11,0.05,-865351332.641052,,
0.52,-6.292E-11,-2.169E-11,9.679E-11,0.05,-794659885.568977,,
0.54,-5.632E-11,-2.648E-11,1.4158E-10,0.05,-887784090.909091,,
0.56,-6.06E-11,-2.587E-11,9.306E-11,0.05,-825082508.250825,,
0.58,-6.264E-11,-3.111E-11,8.633E-11,0.05,-798212005.108557,,
0.6,-7.124E-11,-3.411E-11,5.516E-11,0.05,-701852891.633914,,
0.62,-7.317E-11,-3.233E-11,1.049E-10,0.05,-683340166.735001,,
0.64,-7.269E-11,-3.236E-11,1.3033E-10,0.05,-687852524.418765,,
0.66,-7.108E-11,-2.898E-11,1.3792E-10,0.05,-703432751.828925,,
0.68,-7.177E-11,-3.867E-11,1.1069E-10,0.05,-696669917.79295,,
0.7,-7.999E-11,-3.548E-11,8.345E-11,0.05,-625078134.766846,,
0.72,-7.767E-11,-3.878E-11,1.0613E-10,0.05,-643749195.313506,,
0.74,-8.245E-11,-2.812E-11,1.2358E-10,0.05,-606428138.265615,,
0.76,-7.383E-11,-3.739E-11,1.6306E-10,0.05,-677231477.719084,,
0.78,-8.033E-11,-3.414E-11,1.1809E-10,0.05,-622432466.077431,,
0.8,-7.731E-11,-4.241E-11,1.1829E-10,0.05,-646746863.277713,,
0.82,-8.876E-11,-4.143E-11,8.015E-11,0.05,-563316809.373592,,
