Vg,Id,Is,Ig,Vd,Rt,Ib,I_handle
0,3.13E-11,-3.89E-12,-2.71E-12,0.05,1597444089.45687,,
0.02,-4.254E-11,-6.12E-12,2.437E-11,0.05,-1175364362.95252,,
0.04,-1.961E-11,9.4E-13,4.776E-11,0.05,-2549719530.85161,,
0.06,-7.6E-12,-1.174E-11,6.664E-11,0.05,-6578947368.42105,,
0.08,-3.127E-11,-2.124E-11,7.849E-11,0.05,-1598976654.94084,,
0.1,-5.023E-11,-3.945E-11,9.283E-11,0.05,-995421063.109695,,
0.12,-8.443E-11,-2.506E-11,1.0667E-10,0.05,-592206561.648703,,
0.14,-6.109E-11,-2.585E-11,1.2003E-10,0.05,-818464560.484531,,
0.16,-6.475E-11,-1.078E-11,1.2957E-10,0.05,-772200772.200772,,
0.18,-3.784E-11,-3.434E-11,1.3787E-10,0.05,-1321353065.53911,,
0.2,-8.657E-11,-4.311E-11,1.4768E-10,0.05,-577567286.588888,,
0.22,-9.944E-11,-4.613E-11,1.4692E-10,0.05,-502815768.302494,,
0.24,-1.1733E-10,-3.419E-11,1.5727E-10,0.05,-426148470.126992,,
0.26,-9.363E-11,-2.286E-11,1.6144E-10,0.05,-534016874.933248,,
0.28,-7.259E-11,-3.316E-11,1.6748E-10,0.05,-688800110.208018,,
0.3,-9.375E-11,-3.802E-11,1.7024E-10,0.05,-533333333.333333,,
0.32,-1.0668E-10,-5.57E-11,1.7538E-10,0.05,-468691413.573303,,
0.34,-1.4147E-10,-3.868E-11,1.8452E-10,0.05,-353431823.001343,,
0.36,-1.0981E-10,-3.231E-11,1.9287E-10,0.05,-455331936.98206,,
0.38,-1.0695E-10,-2.17E-11,1.9125E-10,0.05,-467508181.393174,,
0.4,-8.354E-11,-4.096E-11,1.9362E-10,0.05,-598515681.110845,,
0.42,-1.2612E-10,-4.985E-11,1.9768E-10,0.05,-396447827.465905,,
0.44,-1.5354E-10,-4.178E-11,1.9877E-10,0.05,-325648039.598802,,
0.46,-1.3106E-10,-3.981E-11,2.0767E-10,0.05,-381504654.356783,,
0.48,-1.3381E-10,-2.372E-11,2.0244E-10,0.05,-373664150.661386,,
0.5,-1.0244E-10,-4.373E-11,2.1524E-10,0.05,-488090589.613432,,
0.52,-1.4425E-10,-4.858E-11,2.1927E-10,0.05,-346620450.606586,,
0.54,-1.5801E-10,-5.897E-11,2.2037E-10,0.05,-316435668.628568,,
0.56,-1.7655E-10,-4.027E-11,2.2865E-10,0.05,-283205890.682526,,
0.58,-1.4977E-10,-3.093E-11,2.3303E-10,0.05,-333845229.351673,,
0.6,-1.339E-10,-3.754E-11,2.3962E-10,0.05,-373412994.772218,,
0.62,-1.6281E-10,-4.987E-11,2.337E-10,0.05,-307106443.093176,,
0.64,-1.716E-10,-6.256E-11,2.384E-10,0.05,-291375291.375291,,
0.66,-1.7153E-10,-4.384E-11,2.4055E-10,0.05,-291494199.265435,,
0.68,-1.6673E-10,-2.703E-11,2.4998E-10,0.05,-299886043.303545,,
0.7,-1.4164E-10,-4.581E-11,2.472E-10,0.05,-353007624.964699,,
0.72,-1.7834E-10,-4.931E-11,2.5427E-10,0.05,-280363350.90277,,
0.74,-1.8079E-10,-6.331E-11,2.4896E-10,0.05,-276563969.246087,,
0.76,-2.1525E-10,-4.582E-11,2.5835E-10,0.05,-232288037.166086,,
0.78,-1.79E-10,-3.629E-11,2.6555E-10,0.05,-279329608.938547,,
0.8,-1.6964E-10,-3.266E-11,2.7322E-10,0.05,-294741806.177788,,
0.82,-1.6312E-10,-4.764E-11,2.7092E-10,0.05,-306522805.296714,,
0.84,-1.9447E-10,-5.836E-11,2.7338E-10,0.05,-257109065.665655,,
0.86,-2.2194E-10,-5.095E-11,2.7661E-10,0.05,-225286113.363972,,
0.88,-2.0637E-10,-4.546E-11,2.8771E-10,0.05,-242283277.608179,,
0.9,-2.0302E-10,-2.995E-11,2.776E-10,0.05,-246281154.566053,,
0.92,-1.7586E-10,-4.582E-11,2.8951E-10,0.05,-284317070.396907,,
0.94,-2.1085E-10,-5.005E-11,2.919E-10,0.05,-237135404.315864,,
0.96,-2.18E-10,-6.678E-11,2.939E-10,0.05,-229357798.165138,,
0.98,-2.5005E-10,-4.736E-11,2.9967E-10,0.05,-199960007.9984,,
1,-2.1541E-10,-4.243E-11,3.0269E-10,0.05,-232115500.673135,,
1.02,-2.0971E-10,-3.268E-11,3.0578E-10,0.05,-238424490.963712,,
1.04,-1.9131E-10,-5.034E-11,3.0804E-10,0.05,-261355914.484345,,
1.06,-2.3232E-10,-6.052E-11,3.0963E-10,0.05,-215220385.674931,,
1.08,-2.4965E-10,-5.579E-11,3.0536E-10,0.05,-200280392.549569,,
1.1,-2.4204E-10,-4.722E-11,3.0732E-10,0.05,-206577425.218972,,
1.12,-2.3632E-10,-3.418E-11,3.2335E-10,0.05,-211577522.004062,,
1.14,-2.1469E-10,-4.956E-11,3.2149E-10,0.05,-232893940.099679,,
1.16,-2.4177E-10,-5.231E-11,3.2598E-10,0.05,-206808123.423088,,
1.18,-2.4621E-10,-6.742E-11,3.2672E-10,0.05,-203078672.677795,,
1.2,-2.8076E-10,-4.877E-11,3.2884E-10,0.05,-178088046.730303,,
1.22,-2.4637E-10,-3.798E-11,3.3076E-10,0.05,-202946787.352356,,
1.24,-2.2778E-10,-4.08E-11,3.301E-10,0.05,-219510053.560453,,
1.26,-2.3253E-10,-4.968E-11,3.2821E-10,0.05,-215026018.148196,,
1.28,-2.5912E-10,-6.702E-11,3.3531E-10,0.05,-192960790.367397,,
1.3,-2.892E-10,-4.921E-11,3.2853E-10,0.05,-172890733.056708,,
1.32,-2.5548E-10,-4.088E-11,3.4484E-10,0.05,-195710036.010647,,
1.34,-2.3684E-10,-4.406E-11,3.3841E-10,0.05,-211112987.671001,,
1.36,-2.451E-10,-5.087E-11,3.48E-10,0.05,-203998368.013056,,
1.38,-2.624E-10,-6.296E-11,3.3944E-10,0.05,-190548780.487805,,
1.4,-2.944E-10,-5.024E-11,3.4397E-10,0.05,-169836956.521739,,
1.42,-2.6048E-10,-4.585E-11,3.5123E-10,0.05,-191953316.953317,,
1.44,-2.3794E-10,-4.658E-11,3.6058E-10,0.05,-210137009.330083,,
1.46,-2.6404E-10,-5.383E-11,3.5971E-10,0.05,-189365247.689744,,
1.48,-2.7172E-10,-6.733E-11,3.6157E-10,0.05,-184012954.511998,,
1.5,-3.0194E-10,-5.167E-11,3.5463E-10,0.05,-165595813.737829,,
1.52,-2.6638E-10,-4.843E-11,3.5839E-10,0.05,-187701779.412869,,
1.54,-2.6664E-10,-3.373E-11,3.6237E-10,0.05,-187518751.875188,,
1.56,-2.3826E-10,-5.281E-11,3.6378E-10,0.05,-209854780.4919,,
1.58,-2.8658E-10,-6.119E-11,3.7633E-10,0.05,-174471351.804034,,
1.6,-2.9665E-10,-6.37E-11,3.6836E-10,0.05,-168548794.876117,,
1.62,-3.1034E-10,-5.237E-11,3.7084E-10,0.05,-161113617.322936,,
1.64,-2.7989E-10,-4.151E-11,3.7486E-10,0.05,-178641609.203616,,
1.66,-2.5849E-10,-5.007E-11,3.6947E-10,0.05,-193431080.506016,,
1.68,-2.8084E-10,-5.386E-11,3.7508E-10,0.05,-178037316.621564,,
1.7,-2.8976E-10,-6.976E-11,3.7423E-10,0.05,-172556598.564329,,
1.72,-3.2137E-10,-5.194E-11,3.7624E-10,0.05,-155583906.400722,,
1.74,-2.8435E-10,-4.548E-11,3.7963E-10,0.05,-175839634.253561,,
1.76,-2.7279E-10,-4.01E-11,3.7451E-10,0.05,-183291176.36277,,
1.78,-2.5828E-10,-5.402E-11,3.7281E-10,0.05,-193588353.72464,,
1.8,-2.9396E-10,-6.61E-11,3.8013E-10,0.05,-170091168.866512,,
1.82,-3.1527E-10,-5.802E-11,3.7865E-10,0.05,-158594220.826593,,
1.84,-3.0248E-10,-5.395E-11,3.8328E-10,0.05,-165300185.136207,,
1.86,-2.8809E-10,-3.821E-11,3.8163E-10,0.05,-173556874.587802,,
1.88,-2.602E-10,-5.363E-11,3.8272E-10,0.05,-192159877.017679,,
1.9,-2.979E-10,-5.934E-11,3.8643E-10,0.05,-167841557.569654,,
1.92,-2.9919E-10,-7.287E-11,3.8995E-10,0.05,-167117884.956048,,
1.94,-3.321E-10,-5.286E-11,3.8372E-10,0.05,-150557061.126167,,
1.96,-2.9041E-10,-4.512E-11,3.8146E-10,0.05,-172170379.807858,,
1.98,-2.7144E-10,-4.332E-11,3.7638E-10,0.05,-184202770.409667,,
2,-2.6576E-10,-5.497E-11,3.8459E-10,0.05,-188139674.894642,,
2.02,-2.982E-10,-6.977E-11,3.9056E-10,0.05,-167672702.88397,,
2.04,-3.1989E-10,-6.089E-11,3.9058E-10,0.05,-156303729.406984,,
2.06,-3.061E-10,-5.424E-11,3.8668E-10,0.05,-163345311.989546,,
2.08,-2.9548E-10,-3.913E-11,3.9308E-10,0.05,-169216190.605117,,
2.1,-2.69E-10,-5.601E-11,3.8538E-10,0.05,-185873605.947955,,
2.12,-3.0176E-10,-5.856E-11,3.8725E-10,0.05,-165694591.728526,,
2.14,-2.9992E-10,-7.387E-11,3.8682E-10,0.05,-166711122.966124,,
2.16,-3.4368E-10,-5.678E-11,3.8903E-10,0.05,-145484171.32216,,
2.18,-2.881E-10,-4.326E-11,3.8203E-10,0.05,-173550850.399167,,
2.2,-2.8782E-10,-4.012E-11,3.9662E-10,0.05,-173719685.914808,,
2.22,-2.7052E-10,-5.749E-11,3.9435E-10,0.05,-184829217.80275,,
2.24,-3.0681E-10,-6.949E-11,3.9386E-10,0.05,-162967308.757863,,
2.26,-3.2565E-10,-5.865E-11,3.9103E-10,0.05,-153539075.694764,,
2.28,-3.1723E-10,-5.652E-11,3.9471E-10,0.05,-157614349.210352,,
2.3,-3.0167E-10,-4.151E-11,3.98E-10,0.05,-165744024.927901,,
2.32,-2.7514E-10,-5.714E-11,3.8966E-10,0.05,-181725666.933198,,
2.34,-3.0922E-10,-6.066E-11,3.8306E-10,0.05,-161697173.533407,,
2.36,-2.9984E-10,-7.367E-11,3.8487E-10,0.05,-166755602.98826,,
2.38,-3.3694E-10,-5.499E-11,3.884E-10,0.05,-148394372.88538,,
2.4,-2.9747E-10,-4.815E-11,3.9071E-10,0.05,-168084176.555619,,
2.42,-2.8537E-10,-5.735E-11,3.9193E-10,0.05,-175211129.41094,,
2.44,-2.9802E-10,-5.629E-11,3.7989E-10,0.05,-167773974.901013,,
2.46,-3.0547E-10,-7.966E-11,3.9694E-10,0.05,-163682194.650866,,
2.48,-3.4421E-10,-5.681E-11,3.9948E-10,0.05,-145260160.948258,,
2.5,-2.8517E-10,-4.452E-11,3.7941E-10,0.05,-175334011.29151,,
2.52,-2.8976E-10,-3.868E-11,4.1251E-10,0.05,-172556598.564329,,
2.54,-2.7454E-10,-5.775E-11,3.8846E-10,0.05,-182122823.632258,,
2.56,-3.0448E-10,-6.69E-11,4.03E-10,0.05,-164214398.318445,,
2.58,-3.2879E-10,-6.65E-11,3.966E-10,0.05,-152072751.604368,,
2.6,-3.2465E-10,-5.513E-11,4.0071E-10,0.05,-154012012.937009,,
2.62,-3.0367E-10,-4.145E-11,3.9861E-10,0.05,-164652418.744031,,
2.64,-2.7542E-10,-5.77E-11,4.0142E-10,0.05,-181540919.323215,,
2.66,-3.1116E-10,-5.862E-11,3.9495E-10,0.05,-160689034.58028,,
2.68,-3.1109E-10,-7.654E-11,4.0334E-10,0.05,-160725192.066605,,
2.7,-3.4472E-10,-5.683E-11,4.0486E-10,0.05,-145045254.119285,,
2.72,-3.0242E-10,-5.317E-11,4.0717E-10,0.05,-165332980.622975,,
2.74,-2.9568E-10,-3.829E-11,4.0358E-10,0.05,-169101731.601732,,
2.76,-2.7135E-10,-6.022E-11,4.0632E-10,0.05,-184263865.855906,,
2.78,-3.1409E-10,-6.767E-11,4.1106E-10,0.05,-159190041.071031,,
2.8,-3.2482E-10,-6.972E-11,3.9864E-10,0.05,-153931408.164522,,
2.82,-3.3706E-10,-5.737E-11,4.0065E-10,0.05,-148341541.5653,,
2.84,-3.0798E-10,-4.45E-11,4.019E-10,0.05,-162348204.428859,,
2.86,-2.8235E-10,-5.518E-11,4.0275E-10,0.05,-177085177.970604,,
2.88,-3.1194E-10,-6.327E-11,4.1498E-10,0.05,-160287234.724627,,
