Vg,Id,Is,Ig,Vd,Rt,Ib,I_handle
0,5.51E-12,3.28E-12,4.761E-11,0.05,9074410163.33938,,
0.02,8.69E-12,-7.87E-12,9.77E-12,0.05,5753739930.95512,,
0.04,3.39E-12,-1.575E-11,-1.716E-11,0.05,14749262536.8732,,
0.06,-7.95E-12,-2.298E-11,-2.337E-11,0.05,-6289308176.10063,,
0.08,-1.573E-11,-7.11E-12,1.54E-11,0.05,-3178639542.27591,,
0.1,-2.52E-12,-1.318E-11,6.238E-11,0.05,-19841269841.2698,,
0.12,-8.88E-12,-6.77E-12,4.654E-11,0.05,-5630630630.63063,,
0.14,-6.35E-12,-2.909E-11,2.555E-11,0.05,-7874015748.0315,,
0.16,-2.619E-11,-2.348E-11,-2.061E-11,0.05,-1909125620.46583,,
0.18,-2.125E-11,-3.064E-11,2.94E-11,0.05,-2352941176.47059,,
0.2,-3.024E-11,-1.319E-11,5.396E-11,0.05,-1653439153.43915,,
0.22,-1.555E-11,-1.317E-11,9.788E-11,0.05,-3215434083.60129,,
0.24,-2.1E-11,-1.704E-11,5.085E-11,0.05,-2380952380.95238,,
0.26,-2.368E-11,-2.777E-11,2.214E-11,0.05,-2111486486.48649,,
0.28,-3.576E-11,-3.276E-11,1.233E-11,0.05,-1398210290.82774,,
0.3,-4.263E-11,-1.755E-11,5.119E-11,0.05,-1172882946.28196,,
0.32,-2.992E-11,-2.266E-11,9.263E-11,0.05,-1671122994.65241,,
0.34,-3.48E-11,-1.573E-11,8.025E-11,0.05,-1436781609.1954,,
0.36,-3.095E-11,-3.73E-11,6.053E-11,0.05,-1615508885.29887,,
0.38,-5.204E-11,-2.937E-11,1.312E-11,0.05,-960799385.088394,,
0.4,-4.443E-11,-3.786E-11,5.688E-11,0.05,-1125365743.86676,,
0.42,-5.701E-11,-1.957E-11,8.092E-11,0.05,-877039115.944571,,
0.44,-3.961E-11,-2.072E-11,1.289E-10,0.05,-1262307498.10654,,
0.46,-4.405E-11,-2.101E-11,8.481E-11,0.05,-1135073779.79569,,
0.48,-4.471E-11,-3.434E-11,5.867E-11,0.05,-1118318049.65332,,
0.5,-6.038E-11,-3.967E-11,3.933E-11,0.05,-828088771.116264,,
0.52,-6.641E-11,-2.702E-11,8.078E-11,0.05,-752898659.840385,,
0.54,-5.752E-11,-2.834E-11,1.2035E-10,0.05,-869262865.090403,,
0.56,-5.75E-11,-2.304E-11,1.1039E-10,0.05,-869565217.391304,,
0.58,-5.476E-11,-4.323E-11,9.365E-11,0.05,-913075237.399562,,
0.6,-7.423E-11,-3.569E-11,4.761E-11,0.05,-673582109.659167,,
0.62,-6.827E-11,-4.57E-11,8.482E-11,0.05,-732386113.959279,,
0.64,-7.898E-11,-2.776E-11,1.0773E-10,0.05,-633071663.712332,,
0.66,-6.211E-11,-2.908E-11,1.572E-10,0.05,-805023345.677025,,
0.68,-6.569E-11,-3.406E-11,1.0921E-10,0.05,-761150860.100472,,
0.7,-7.022E-11,-4.065E-11,7.945E-11,0.05,-712047849.615494,,
0.72,-7.975E-11,-4.8E-11,7.232E-11,0.05,-626959247.648903,,
0.74,-8.646E-11,-2.975E-11,1.1001E-10,0.05,-578302105.019662,,
0.76,-7.308E-11,-3.801E-11,1.5693E-10,0.05,-684181718.664477,,
0.78,-7.771E-11,-2.873E-11,1.3166E-10,0.05,-643417835.542401,,
0.8,-7.197E-11,-5.029E-11,1.1354E-10,0.05,-694733916.909823,,
0.82,-9.241E-11,-4.714E-11,6.804E-11,0.05,-541066984.092631,,
0.84,-8.841E-11,-5.144E-11,1.1825E-10,0.05,-565546883.83667,,
0.86,-9.807E-11,-3.686E-11,1.3993E-10,0.05,-509839910.268176,,
0.88,-8E-11,-3.598E-11,1.764E-10,0.05,-625000000,,
0.9,-8.129E-11,-4.206E-11,1.3369E-10,0.05,-615081805.880182,,
0.92,-8.378E-11,-4.969E-11,1.0393E-10,0.05,-596801145.8582,,
0.94,-9.444E-11,-5.643E-11,9.527E-11,0.05,-529436679.373147,,
0.96,-1.0043E-10,-3.924E-11,1.304E-10,0.05,-497859205.416708,,
0.98,-8.569E-11,-4.541E-11,1.7627E-10,0.05,-583498657.953087,,
1,-9.053E-11,-3.87E-11,1.5237E-10,0.05,-552303103.943444,,
1.02,-8.336E-11,-5.977E-11,1.3504E-10,0.05,-599808061.420345,,
1.04,-1.0565E-10,-5.37E-11,8.75E-11,0.05,-473260766.682442,,
1.06,-9.629E-11,-6.185E-11,1.3176E-10,0.05,-519264721.154845,,
1.08,-1.0622E-10,-4.45E-11,1.5341E-10,0.05,-470721144.793824,,
1.1,-8.692E-11,-4.462E-11,1.9746E-10,0.05,-575241601.472618,,
1.12,-9.011E-11,-4.723E-11,1.488E-10,0.05,-554877372.100766,,
1.14,-8.866E-11,-5.898E-11,1.1992E-10,0.05,-563952176.855403,,
1.16,-9.909E-11,-6.491E-11,1.0754E-10,0.05,-504591785.245736,,
1.18,-1.0365E-10,-4.987E-11,1.4465E-10,0.05,-482392667.631452,,
1.2,-9.28E-11,-5.379E-11,1.8441E-10,0.05,-538793103.448276,,
1.22,-9.252E-11,-4.699E-11,1.6737E-10,0.05,-540423692.174665,,
1.24,-8.654E-11,-6.985E-11,1.502E-10,0.05,-577767506.355443,,
1.26,-1.0285E-10,-6.3E-11,1.0043E-10,0.05,-486144871.171609,,
1.28,-9.577E-11,-7.278E-11,1.4194E-10,0.05,-522084159.966587,,
1.3,-1.046E-10,-5.414E-11,1.599E-10,0.05,-478011472.275335,,
1.32,-8.576E-11,-5.565E-11,2.0378E-10,0.05,-583022388.059701,,
1.34,-8.574E-11,-5.658E-11,1.5739E-10,0.05,-583158385.817588,,
1.36,-8.513E-11,-6.923E-11,1.2952E-10,0.05,-587337013.978621,,
1.38,-9.452E-11,-7.465E-11,1.1121E-10,0.05,-528988573.846805,,
1.4,-9.886E-11,-6.073E-11,1.5033E-10,0.05,-505765729.314182,,
1.42,-8.601E-11,-6.518E-11,1.8665E-10,0.05,-581327752.586908,,
1.44,-8.693E-11,-5.927E-11,1.6964E-10,0.05,-575175428.505694,,
1.46,-7.857E-11,-8.106E-11,1.5173E-10,0.05,-636375206.821942,,
1.48,-9.69E-11,-7.474E-11,1.0249E-10,0.05,-515995872.033024,,
1.5,-8.875E-11,-8.349E-11,1.4662E-10,0.05,-563380281.690141,,
1.52,-9.583E-11,-6.608E-11,1.6345E-10,0.05,-521757278.514035,,
1.54,-7.613E-11,-6.641E-11,2.0709E-10,0.05,-656771312.229082,,
1.56,-7.737E-11,-6.791E-11,1.5958E-10,0.05,-646245314.721468,,
1.58,-7.289E-11,-8.169E-11,1.3225E-10,0.05,-685965152.970229,,
1.6,-8.467E-11,-8.796E-11,1.1059E-10,0.05,-590527931.971182,,
1.62,-8.722E-11,-7.622E-11,1.4688E-10,0.05,-573263013.070397,,
1.64,-7.823E-11,-7.645E-11,1.8398E-10,0.05,-639140994.503387,,
1.66,-7.342E-11,-7.145E-11,1.7143E-10,0.05,-681013347.861618,,
1.68,-6.722E-11,-9.44E-11,1.5258E-10,0.05,-743826242.189824,,
1.7,-8.31E-11,-8.753E-11,1.0557E-10,0.05,-601684717.208183,,
1.72,-7.57E-11,-9.743E-11,1.4224E-10,0.05,-660501981.505944,,
1.74,-8.168E-11,-7.756E-11,1.6099E-10,0.05,-612144955.925563,,
1.76,-6.095E-11,-8.216E-11,2.0865E-10,0.05,-820344544.708778,,
1.78,-6.281E-11,-8.117E-11,1.6149E-10,0.05,-796051584.142653,,
1.8,-5.736E-11,-9.836E-11,1.3567E-10,0.05,-871687587.168759,,
1.82,-6.99E-11,-1.0211E-10,1.0756E-10,0.05,-715307582.260372,,
1.84,-7.187E-11,-9.421E-11,1.5014E-10,0.05,-695700570.474468,,
1.86,-6.439E-11,-9.225E-11,1.8427E-10,0.05,-776518092.871564,,
1.88,-5.853E-11,-8.785E-11,1.8022E-10,0.05,-854262771.22843,,
1.9,-5.19E-11,-1.0969E-10,1.5381E-10,0.05,-963391136.801541,,
1.92,-6.739E-11,-1.0317E-10,1.1118E-10,0.05,-741949844.190533,,
1.94,-5.874E-11,-1.1418E-10,1.385E-10,0.05,-851208716.377256,,
1.96,-6.718E-11,-9.217E-11,1.5616E-10,0.05,-744269127.716582,,
1.98,-4.601E-11,-1.0101E-10,2.0688E-10,0.05,-1086720278.20039,,
2,-4.808E-11,-9.638E-11,1.6117E-10,0.05,-1039933444.25957,,
2.02,-4.113E-11,-1.1538E-10,1.4006E-10,0.05,-1215657670.7999,,
2.04,-5.552E-11,-1.1984E-10,1.0752E-10,0.05,-900576368.876081,,
2.06,-5.388E-11,-1.1504E-10,1.5249E-10,0.05,-927988121.752042,,
2.08,-4.993E-11,-1.1037E-10,1.8369E-10,0.05,-1001401962.74785,,
2.1,-3.881E-11,-1.0605E-10,1.9018E-10,0.05,-1288327750.57975,,
2.12,-3.28E-11,-1.2897E-10,1.5751E-10,0.05,-1524390243.90244,,
2.14,-4.59E-11,-1.2393E-10,1.1571E-10,0.05,-1089324618.73638,,
2.16,-4.112E-11,-1.3448E-10,1.3925E-10,0.05,-1215953307.393,,
2.18,-4.624E-11,-1.1326E-10,1.5589E-10,0.05,-1081314878.89273,,
2.2,-2.434E-11,-1.2295E-10,2.0645E-10,0.05,-2054231717.33772,,
2.22,-2.955E-11,-1.1768E-10,1.6419E-10,0.05,-1692047377.32657,,
2.24,-1.953E-11,-1.3974E-10,1.4533E-10,0.05,-2560163850.48643,,
2.26,-3.535E-11,-1.4164E-10,1.043E-10,0.05,-1414427157.00141,,
2.28,-3.327E-11,-1.4174E-10,1.5127E-10,0.05,-1502855425.30809,,
2.3,-3.102E-11,-1.3368E-10,1.8272E-10,0.05,-1611863313.99097,,
2.32,-1.846E-11,-1.2973E-10,1.9108E-10,0.05,-2708559046.58722,,
2.34,-1.06E-11,-1.5111E-10,1.6023E-10,0.05,-4716981132.07547,,
2.36,-2.285E-11,-1.4961E-10,1.228E-10,0.05,-2188183807.43983,,
2.38,-1.682E-11,-1.584E-10,1.3587E-10,0.05,-2972651605.23187,,
2.4,-2.391E-11,-1.3865E-10,1.5511E-10,0.05,-2091175240.48515,,
2.42,-3.06E-12,-1.4975E-10,2.0196E-10,0.05,-16339869281.0458,,
2.44,-4.84E-12,-1.4413E-10,1.6877E-10,0.05,-10330578512.3967,,
2.46,4.28E-12,-1.6732E-10,1.4858E-10,0.05,11682242990.6542,,
2.48,-1.165E-11,-1.6929E-10,1.0458E-10,0.05,-4291845493.56223,,
2.5,-6.33E-12,-1.7274E-10,1.5024E-10,0.05,-7898894154.81833,,
2.52,-6.93E-12,-1.6155E-10,1.784E-10,0.05,-7215007215.00721,,
2.54,1.254E-11,-1.5905E-10,2.0015E-10,0.05,3987240829.34609,,
2.56,1.713E-11,-1.7735E-10,1.6069E-10,0.05,2918855808.52306,,
2.58,1.091E-11,-1.7813E-10,1.2515E-10,0.05,4582951420.71494,,
2.6,9.16E-12,-1.8918E-10,1.327E-10,0.05,5458515283.84279,,
2.62,7.41E-12,-1.705E-10,1.6827E-10,0.05,6747638326.5857,,
