Vg,Id,Is,Ig,Vd,Rt,Ib,I_handle
0,7.83E-12,-4.01E-12,1.648E-11,0.05,6385696040.86845,,
0.02,7.68E-12,-1.683E-11,6.87E-12,0.05,6510416666.66667,,
0.04,-1.41E-12,-1.58E-11,-1.491E-11,0.05,-35460992907.8014,,
0.06,-5.5E-13,-2.32E-11,6.7E-12,0.05,-90909090909.0909,,
0.08,-4.7E-12,-1.728E-11,2.299E-11,0.05,-10638297872.3404,,
0.1,3.49E-12,-2.491E-11,5.607E-11,0.05,14326647564.4699,,
0.12,1.4E-13,-2.485E-11,3.14E-11,0.05,357142857142.857,,
0.14,1.32E-12,-3.64E-11,2.916E-11,0.05,37878787878.7879,,
0.16,-7.15E-12,-3.647E-11,2.05E-12,0.05,-6993006993.00699,,
0.18,-4.8E-12,-4.183E-11,3.861E-11,0.05,-10416666666.6667,,
0.2,-5.91E-12,-4.039E-11,5.8E-11,0.05,-8460236886.63283,,
0.22,-2.55E-12,-4.039E-11,7.338E-11,0.05,-19607843137.2549,,
0.24,4.6E-13,-5.152E-11,5.284E-11,0.05,108695652173.913,,
0.26,-6.95E-12,-5.083E-11,3.404E-11,0.05,-7194244604.31655,,
0.28,-4.97E-12,-5.728E-11,4.156E-11,0.05,-10060362173.0382,,
0.3,-6.67E-12,-5.242E-11,6.083E-11,0.05,-7496251874.06297,,
0.32,-5E-13,-5.834E-11,9.172E-11,0.05,-100000000000,,
0.34,-4.83E-12,-5.826E-11,6.903E-11,0.05,-10351966873.706,,
0.36,-1.61E-12,-6.909E-11,6.518E-11,0.05,-31055900621.118,,
0.38,-8.63E-12,-6.871E-11,3.834E-11,0.05,-5793742757.82155,,
0.4,-7.45E-12,-7.202E-11,7.437E-11,0.05,-6711409395.97315,,
0.42,-6.82E-12,-7.258E-11,9.573E-11,0.05,-7331378299.12023,,
0.44,-5.01E-12,-7.284E-11,1.078E-10,0.05,-9980039920.15968,,
