Vg,Id,Is,Ig,Vd,Rt,Ib,I_handle
0,3.98E-12,-4.84E-12,1.08E-11,0.05,12562814070.3518,,
0.02,1.131E-11,-1.388E-11,-1.631E-11,0.05,4420866489.83201,,
0.04,-1.405E-11,-8.81E-12,-5.529E-11,0.05,-3558718861.20996,,
0.06,-1.15E-12,-6.7E-12,2.048E-11,0.05,-43478260869.5652,,
0.08,-3.01E-12,-1.048E-11,2.347E-11,0.05,-16611295681.0631,,
0.1,-7.38E-12,-6.8E-13,5.834E-11,0.05,-6775067750.67751,,
0.12,7.92E-12,-1.089E-11,1.794E-11,0.05,6313131313.13131,,
0.14,-8.76E-12,-1.623E-11,-3.409E-11,0.05,-5707762557.07763,,
0.16,-1.283E-11,-1.094E-11,-1.52E-12,0.05,-3897116134.06079,,
0.18,-4.27E-12,-6.79E-12,2.037E-11,0.05,-11709601873.5363,,
0.2,-4.66E-12,-1.474E-11,5.229E-11,0.05,-10729613733.9056,,
0.22,-1.098E-11,-2.49E-12,3.308E-11,0.05,-4553734061.93078,,
0.24,4.82E-12,-2.174E-11,9.78E-12,0.05,10373443983.4025,,
0.26,-2.079E-11,-1.637E-11,-4.426E-11,0.05,-2405002405.00241,,
0.28,-7.97E-12,-1.506E-11,3.078E-11,0.05,-6273525721.45546,,
0.3,-7.09E-12,-1.693E-11,3.589E-11,0.05,-7052186177.71509,,
0.32,-8.59E-12,-8.31E-12,7.032E-11,0.05,-5820721769.49942,,
0.34,7.24E-12,-1.705E-11,2.742E-11,0.05,6906077348.0663,,
0.36,-7.16E-12,-2.05E-11,-2.057E-11,0.05,-6983240223.46369,,
0.38,-1.209E-11,-1.851E-11,6.4E-12,0.05,-4135649296.93962,,
0.4,-4.65E-12,-1.051E-11,2.672E-11,0.05,-10752688172.043,,
0.42,-4.45E-12,-1.873E-11,6.816E-11,0.05,-11235955056.1798,,
0.44,-9.89E-12,-9.79E-12,3.443E-11,0.05,-5055611729.01921,,
0.46,8.8E-13,-2.544E-11,1.226E-11,0.05,56818181818.1818,,
0.48,-2.14E-11,-2.142E-11,-3.847E-11,0.05,-2336448598.13084,,
0.5,-1.155E-11,-2.042E-11,3.48E-11,0.05,-4329004329.00433,,
0.52,-1.288E-11,-2.119E-11,4.057E-11,0.05,-3881987577.63975,,
0.54,-1.256E-11,-1.395E-11,3.974E-11,0.05,-3980891719.74522,,
0.56,-6.05E-12,-2.382E-11,-1.17E-11,0.05,-8264462809.91736,,
0.58,-1.478E-11,-2.396E-11,-3.48E-12,0.05,-3382949932.341,,
0.6,-6.95E-12,-1.467E-11,3.243E-11,0.05,-7194244604.31655,,
0.62,-3.33E-12,-2.279E-11,6.791E-11,0.05,-15015015015.015,,
0.64,-8.48E-12,-1.502E-11,4.529E-11,0.05,-5896226415.09434,,
0.66,1.98E-12,-3.046E-11,2.351E-11,0.05,25252525252.5253,,
0.68,-2.122E-11,-2.68E-11,-3.203E-11,0.05,-2356267672.00754,,
0.7,-9.02E-12,-2.768E-11,3.908E-11,0.05,-5543237250.55432,,
0.72,-1.119E-11,-2.373E-11,4.95E-11,0.05,-4468275245.75514,,
0.74,-1.246E-11,-1.87E-11,7.218E-11,0.05,-4012841091.49278,,
0.76,1.46E-12,-3.177E-11,2.991E-11,0.05,34246575342.4658,,
0.78,-1.869E-11,-2.703E-11,-1.553E-11,0.05,-2675227394.32852,,
0.8,-1.117E-11,-2.961E-11,2.921E-11,0.05,-4476275738.5855,,
0.82,-8.85E-12,-2.077E-11,3.55E-11,0.05,-5649717514.12429,,
0.84,-6.56E-12,-2.537E-11,8.721E-11,0.05,-7621951219.5122,,
0.86,-7.99E-12,-2.085E-11,4.123E-11,0.05,-6257822277.84731,,
0.88,-9.5E-13,-3.163E-11,1.584E-11,0.05,-52631578947.3684,,
0.9,-1.667E-11,-3.237E-11,-1.632E-11,0.05,-2999400119.976,,
0.92,-1.152E-11,-2.927E-11,4.146E-11,0.05,-4340277777.77778,,
0.94,-9.33E-12,-2.842E-11,6.575E-11,0.05,-5359056806.00214,,
0.96,-8.01E-12,-2.463E-11,6.367E-11,0.05,-6242197253.43321,,
0.98,2.02E-12,-3.759E-11,3.547E-11,0.05,24752475247.5248,,
1,-1.884E-11,-3.133E-11,-1.281E-11,0.05,-2653927813.16348,,
1.02,-9.94E-12,-3.518E-11,3.61E-11,0.05,-5030181086.51911,,
1.04,-1.139E-11,-2.638E-11,4.453E-11,0.05,-4389815627.74364,,
1.06,-6.25E-12,-2.921E-11,9.542E-11,0.05,-8000000000,,
1.08,-5.03E-12,-2.703E-11,4.176E-11,0.05,-9940357852.8827,,
1.1,-2.71E-12,-3.552E-11,1.59E-11,0.05,-18450184501.845,,
1.12,-1.446E-11,-3.785E-11,-1.166E-11,0.05,-3457814661.13416,,
1.14,-1.037E-11,-3.323E-11,4.152E-11,0.05,-4821600771.45612,,
1.16,-8.41E-12,-3.279E-11,7.181E-11,0.05,-5945303210.46373,,
1.18,-6.09E-12,-3.032E-11,6.909E-11,0.05,-8210180623.97373,,
1.2,1.94E-12,-4.245E-11,3.851E-11,0.05,25773195876.2887,,
1.22,-1.554E-11,-3.575E-11,-4.86E-12,0.05,-3217503217.50322,,
